Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Isaac Paredes,TBR,34,108,10,5,0,10,17,21,8,0,15,1,41,86.9,7,0,20036,7.32
Nelson Velazquez,CHC,8,20,5,1,0,0,3,0,3,0,5,0,4,87.3,0,0,23359,4.00
Brendan Donovan,STL,54,197,35,14,1,2,27,25,26,1,34,6,26,86.6,2,2,24679,7.09
Kyle Garlick,MIN,31,73,11,1,0,6,12,15,6,0,15,1,22,93.2,8,0,18063,5.35
Pete Alonso,NYM,73,314,43,11,0,22,45,69,30,6,64,7,96,89.6,31,2,19251,9.97
William Contreras,ATL,34,131,13,8,0,9,19,18,15,0,34,0,27,90.3,14,2,20503,8.32
Jose Altuve,HOU,57,251,33,13,0,15,39,26,25,0,43,4,71,85.6,15,5,5417,9.25
Luis Arraez,MIN,64,262,67,9,0,4,40,26,30,1,20,2,60,88.6,8,2,18568,7.72
Byron Buxton,MIN,54,228,17,10,2,19,41,35,20,0,60,5,70,92.4,23,1,14161,9.52
Willson Contreras,CHC,64,274,35,14,1,12,40,31,29,0,56,14,60,91.3,18,3,11609,8.53
Jarren Duran,BOS,13,57,10,5,2,0,9,3,4,0,11,1,12,90.7,3,4,24617,9.62
Danny Jansen,TOR,19,62,5,1,0,7,9,13,3,0,10,2,27,89,10,0,16535,7.58
Josh Bell,WSN,74,310,57,12,2,11,40,46,34,3,42,4,73,89.2,18,0,13145,8.26
Ty France,SEA,70,311,63,14,0,10,32,45,20,1,43,14,67,89.1,14,0,17982,8.33
Xander Bogaerts,BOS,70,296,60,20,0,6,44,31,27,2,60,5,65,88.3,15,3,12161,8.19
Mookie Betts,LAD,60,275,37,13,0,17,53,40,27,0,47,2,93,90.1,19,6,13611,10.33
Freddie Freeman,LAD,71,321,51,24,2,8,47,46,37,4,56,3,78,91.5,25,6,5361,9.48
Michael Harris II,ATL,28,107,22,7,2,3,18,14,3,0,27,1,21,88.6,7,3,25931,8.36
C.J. Cron,COL,73,313,49,16,2,17,45,53,19,2,83,5,84,87.7,26,0,12546,9.05
Dansby Swanson,ATL,74,305,56,14,1,13,48,43,25,0,82,3,78,90.1,25,11,18314,9.04
Andres Gimenez,CLE,59,212,42,10,2,8,24,35,10,1,44,3,46,89.2,12,6,19950,7.59
Ji-Man Choi,TBR,52,198,29,13,0,6,22,35,29,2,54,0,41,92.6,14,0,5452,7.46
Brian Serven,COL,21,71,15,1,1,3,8,9,6,0,15,0,18,84.8,2,0,19422,6.38
Jeff McNeil,NYM,65,249,52,17,1,4,33,33,19,0,29,3,68,87.9,4,2,15362,7.31
Mike Brosseau,MIL,32,82,15,1,0,4,8,10,10,0,21,1,18,88.9,4,1,19683,4.78
Trea Turner,LAD,71,313,61,17,2,10,40,53,23,1,61,1,75,90.8,20,15,16252,9.79
Royce Lewis,MIN,12,41,6,4,0,2,5,5,1,0,5,0,17,90.7,2,0,20437,6.67
Vladimir Guerrero Jr.,TOR,71,307,44,10,0,17,40,43,36,4,53,4,67,94,26,0,19611,8.54
Brandon Drury,CIN,62,257,35,13,1,15,45,38,18,0,55,3,73,89.6,20,1,11615,8.73
Nolan Arenado,STL,71,299,43,19,0,14,35,49,27,1,38,1,118,88.6,18,0,9777,8.31
Tim Anderson,CHW,45,197,49,9,0,5,27,19,7,1,23,4,41,88.4,13,8,15172,8.84
Jazz Chisholm Jr.,MIA,59,240,26,10,4,14,39,45,21,0,66,3,59,90.2,25,12,20454,9.76
Austin Slater,SFG,51,124,18,1,2,5,20,17,20,0,37,1,19,88,8,3,16153,5.02
Andrew Vaughn,CHW,54,229,46,12,0,7,23,32,16,0,37,3,60,91.6,12,0,26197,7.70
Jon Berti,MIA,43,163,30,8,2,2,27,14,20,0,38,2,31,87.9,6,21,12037,9.23
Yairo Munoz,PHI,8,22,2,0,0,2,4,3,3,0,4,0,5,84.5,1,1,16313,6.38
Ian Happ,CHC,71,287,42,16,2,8,33,36,37,3,55,3,65,89.9,17,5,17919,7.76
Kyle Schwarber,PHI,72,315,25,12,0,21,51,46,47,2,92,2,88,92.9,36,4,16478,9.18
Tyler Stephenson,CIN,42,155,30,8,0,5,21,31,11,0,41,2,33,86.3,7,1,17988,7.50
Ronald Acuna Jr.,ATL,43,196,32,8,0,7,28,18,20,1,51,6,42,91.3,20,13,18401,9.70
Victor Caratini,MIL,34,119,16,3,0,5,13,13,17,0,22,4,24,88.7,8,0,14968,6.09
Kyle Tucker,HOU,67,272,34,12,0,14,29,48,35,1,44,0,93,89,22,13,18345,8.85
Taylor Trammell,SEA,30,88,7,9,0,3,14,9,11,0,24,0,21,88.6,6,2,19960,5.80
Garrett Cooper,MIA,63,258,48,16,1,5,23,35,20,0,61,6,46,91,16,0,15279,7.14
Josh Naylor,CLE,47,188,26,13,0,8,21,38,15,1,31,2,50,89.8,13,1,18839,8.13
P.J. Higgins,CHC,22,58,9,2,1,2,6,9,5,0,10,1,16,85.7,0,0,18433,4.86
Juan Soto,WSN,73,320,28,14,0,14,42,31,61,2,48,2,77,89.6,27,5,20123,8.15
Carlos Correa,MIN,51,225,43,12,0,7,29,24,17,0,53,1,51,92,17,0,14162,7.86
Austin Riley,ATL,72,313,37,15,1,18,39,43,23,1,86,7,76,93.4,31,2,18360,8.47
Austin Hays,BAL,69,288,45,19,1,10,38,44,19,0,53,4,80,89.3,15,1,19363,8.01
Giancarlo Stanton,NYY,60,247,30,5,0,17,27,47,29,2,68,0,57,96.2,36,0,4949,8.25
Shohei Ohtani,LAA,72,311,41,13,1,16,45,47,32,5,75,3,77,93,36,7,19755,9.10
Anthony Rizzo,NYY,72,305,27,10,1,19,42,49,35,3,52,10,102,89.6,23,6,3473,8.85
Jose Abreu,CHW,69,304,45,16,0,9,39,32,38,0,48,3,77,93.1,22,0,15676,7.67
Will Smith,LAD,59,245,35,10,0,11,29,35,28,1,36,1,82,90.4,22,0,19197,7.68
George Springer,TOR,64,273,36,11,2,13,41,34,23,1,58,5,71,89.5,14,6,12856,8.55
Brandon Nimmo,NYM,66,289,46,13,5,5,42,24,28,0,47,8,57,89.9,14,0,12927,7.53
Luis Gonzalez,SFG,49,180,32,12,1,3,20,24,15,0,37,2,42,87.8,4,7,20332,7.16
Travis d'Arnaud,ATL,49,205,28,14,0,10,31,34,6,0,40,6,57,88.3,15,0,7739,8.33
Matt Olson,ATL,74,327,31,29,0,10,29,40,43,3,72,1,82,92.3,25,0,14344,7.70
Tim Locastro,NYY,15,15,2,0,0,1,8,2,2,0,4,0,2,84.4,1,4,15124,4.00
Jeremy Pena,HOU,55,215,35,9,1,9,28,27,12,0,51,5,54,89.2,14,6,21636,7.67
Brian Anderson,MIA,32,123,17,9,0,2,21,6,16,1,34,2,23,87.1,8,1,18289,6.66
Orlando Arcia,ATL,28,102,18,5,0,3,8,13,9,0,23,1,24,91.8,6,0,13185,6.11
Connor Joe,COL,67,304,54,11,3,5,37,16,38,0,60,3,65,84.5,10,4,16572,7.45
Manuel Margot,TBR,51,200,40,11,1,3,21,27,17,1,35,1,48,89.7,7,5,14712,7.29
Michael Brantley,HOU,64,277,50,14,1,5,28,26,31,2,30,1,67,89.8,13,1,4106,7.17
Rhys Hoskins,PHI,73,312,38,14,2,13,38,37,36,0,80,2,83,89.7,20,0,16472,7.62
Trey Mancini,BAL,66,285,51,12,1,7,29,28,25,1,58,7,78,89.4,22,0,15149,7.14
Danny Mendick,CHW,31,106,20,4,1,3,22,15,7,0,23,1,24,86.8,3,1,18889,6.87
Luis Garcia,WSN,24,97,21,6,1,2,9,11,1,0,19,1,20,88.2,5,0,20391,6.88
Rowdy Tellez,MIL,70,270,31,16,0,13,27,45,24,2,56,3,81,90.5,22,0,15679,7.21
Mike Yastrzemski,SFG,63,251,28,16,0,8,35,28,32,0,57,3,64,90.8,18,0,14854,6.98
Oscar Gonzalez,CLE,28,116,21,10,0,2,12,14,5,0,24,1,19,90.7,5,0,20970,7.04
Alex Bregman,HOU,70,296,33,15,0,9,38,35,44,0,39,5,100,89.8,15,0,17678,7.26
Juan Yepez,STL,46,167,27,8,0,7,19,19,11,0,36,1,56,87.5,10,0,18400,6.33
Evan Longoria,SFG,38,126,14,5,0,7,15,15,14,0,33,0,35,91.9,11,0,9368,5.92
Julio Rodriguez,SEA,73,301,48,14,1,11,38,35,22,1,86,4,60,91.2,22,19,23697,8.59
Jorge Alfaro,SDP,41,150,23,10,0,6,18,21,7,0,49,1,30,91.1,12,1,12180,6.78
Dustin Garneau,DET,8,11,2,1,0,0,1,1,1,0,4,0,5,89.5,1,0,9433,2.13
Nomar Mazara,SDP,21,70,14,4,0,1,8,10,5,0,14,1,18,86.5,2,0,14553,5.71
Edwin Rios,LAD,27,92,13,1,0,7,12,17,5,1,36,1,17,88.5,7,0,18316,6.89
Ketel Marte,ARI,65,267,34,23,1,4,34,22,28,1,48,3,68,90.5,8,4,13613,7.09
Patrick Wisdom,CHC,69,278,28,15,0,14,38,37,28,1,95,3,72,92.5,25,2,13602,7.58
Hunter Renfroe,MIL,54,217,27,9,0,13,27,27,15,0,54,1,69,89.7,20,0,15464,7.33
Harold Ramirez,TBR,59,187,40,9,0,3,20,24,13,1,22,2,39,88.9,10,2,14387,5.51
Gleyber Torres,NYY,67,249,30,13,1,13,33,32,16,1,47,2,95,91.9,20,4,16997,7.18
Luis Guillorme,NYM,52,170,39,6,0,1,22,7,18,0,22,0,25,87.1,4,1,16451,4.92
Christian Walker,ARI,72,293,22,10,1,19,35,38,34,2,57,4,98,90.4,31,0,13419,7.50
Nathaniel Lowe,TEX,66,264,48,10,1,10,29,31,17,1,65,0,54,90,15,1,19566,7.02
Jose Trevino,NYY,48,133,24,2,1,6,18,21,9,0,18,1,40,87.6,6,1,16725,5.27
DJ LeMahieu,NYY,64,270,41,13,0,7,36,31,31,0,35,3,59,88.9,13,1,9874,7.27
Mark Canha,NYM,61,242,47,5,0,6,33,29,23,0,46,7,54,87.4,6,1,11445,6.80
Rafael Ortega,CHC,62,199,32,10,0,4,22,15,25,0,42,0,57,87,6,4,10323,5.32
Jonah Heim,TEX,52,189,23,9,0,10,24,29,16,0,38,0,65,89.7,11,2,16930,6.96
Kyle Farmer,CIN,62,246,41,16,0,5,27,38,16,0,34,6,52,85.8,10,4,14813,7.21
Ryan Mountcastle,BAL,62,263,41,14,0,12,32,37,13,1,67,1,63,93,29,2,18373,7.92
Jurickson Profar,SDP,74,323,42,17,2,8,47,38,40,0,50,3,77,87.9,11,4,10815,7.88
Seiya Suzuki,CHC,41,163,17,12,1,4,20,21,21,2,49,1,47,90.4,12,3,30116,7.41
Eugenio Suarez,SEA,73,312,36,14,1,13,35,37,34,0,101,4,74,88.2,25,0,12552,7.34
Andrew Benintendi,KCR,70,296,62,11,2,3,28,25,29,0,42,1,77,89.5,12,1,17901,6.54
Tyler Naquin,CIN,39,150,18,11,1,5,22,22,10,1,37,2,38,89.9,10,3,13359,7.59
Bryan Reynolds,PIT,69,291,43,8,3,12,32,25,27,2,69,2,60,88.1,11,3,19326,7.30
LaMonte Wade Jr.,SFG,10,32,5,0,0,1,4,5,5,0,5,1,6,94.4,1,0,18126,5.50
Anthony Santander,BAL,67,281,39,6,0,13,31,36,30,1,59,6,87,89.8,17,0,14551,7.24
Gosuke Katoh,TOR,8,11,0,1,0,0,2,0,3,0,1,0,2,83.3,0,0,15697,1.88
Jared Walsh,LAA,71,278,41,12,2,13,31,40,14,2,82,3,64,91.4,20,1,18607,7.24
Chris Taylor,LAD,67,262,31,19,3,6,30,27,26,2,91,2,56,88.3,17,6,13757,7.10
Joey Wendle,MIA,29,97,17,6,0,2,12,11,7,0,11,1,21,87.3,1,4,13853,6.31
Starling Marte,NYM,63,276,47,14,3,7,48,36,13,0,51,6,61,85.7,12,8,9241,8.75
Adolis Garcia,TEX,69,292,40,12,3,15,45,47,14,1,79,2,77,92.3,22,11,19287,9.09
Alek Thomas,ARI,44,165,27,7,0,6,24,15,12,0,30,2,32,87.7,9,4,23792,6.86
Seby Zavala,CHW,11,33,5,3,0,1,4,6,1,0,12,0,9,89.1,4,0,18887,5.64
Max Kepler,MIN,64,256,34,11,1,7,32,33,33,0,38,3,65,89.9,15,2,12144,6.98
Charlie Blackmon,COL,65,290,42,12,2,12,36,40,19,0,49,2,76,85.8,14,2,7859,8.09
Michael A. Taylor,KCR,52,191,36,3,2,5,22,21,19,0,43,1,56,87.6,10,1,11489,6.15
Willy Adames,MIL,53,224,19,10,0,15,36,39,19,0,61,1,67,90.7,23,1,15986,8.53
Tommy Pham,CIN,64,271,38,9,0,10,43,30,34,0,66,1,67,93,16,5,2967,7.81
Yonathan Daza,COL,59,209,50,9,1,0,27,17,14,0,24,3,41,85.7,5,0,15794,5.51
J.P. Crawford,SEA,69,293,47,15,1,5,31,19,30,0,44,5,69,84,7,3,15491,6.65
Yandy Diaz,TBR,64,256,45,8,0,3,28,15,38,0,28,3,50,91.7,6,1,16578,5.91
Christopher Morel,CHC,37,171,24,8,2,5,24,15,15,0,51,1,28,89.5,13,7,21897,8.73
Gavin Lux,LAD,64,232,45,10,2,2,38,17,24,0,42,0,54,86.7,10,5,19955,6.31
Lourdes Gurriel Jr.,TOR,65,254,45,17,0,4,26,32,15,0,45,5,73,90.5,9,2,19238,6.55
Cavan Biggio,TOR,36,110,9,6,1,2,14,11,19,0,32,2,22,88.7,7,1,19252,5.06
Ben Gamel,PIT,45,160,25,7,1,3,20,17,20,0,37,0,26,88.8,6,3,12160,6.16
Tommy Edman,STL,73,323,57,11,3,7,55,31,29,0,58,3,71,88.7,15,17,19470,8.78
Jake Burger,CHW,48,182,24,9,1,8,20,26,10,1,56,3,47,90.8,17,0,22275,6.77
Steven Kwan,CLE,56,221,44,7,3,1,28,18,23,1,17,3,63,85,3,4,24610,6.55
David Peralta,ARI,64,236,28,14,1,9,21,29,21,2,57,1,72,90.7,17,1,2136,6.33
Christian Vazquez,BOS,56,205,34,15,0,4,20,30,12,0,33,2,45,88.2,11,1,9774,6.25
Nolan Gorman,STL,34,124,18,4,0,6,18,17,8,0,40,2,35,90,10,0,22263,6.59
Francisco Lindor,NYM,73,323,45,11,2,12,45,56,28,1,63,6,89,88.8,16,8,12916,8.74
Keston Hiura,MIL,36,119,14,1,0,6,16,14,13,0,55,5,15,93.1,7,3,20003,6.06
Hunter Dozier,KCR,63,255,37,13,2,7,32,22,20,0,59,3,67,89.6,18,2,15117,6.76
Jorge Polanco,MIN,58,250,36,10,0,7,28,33,32,0,55,0,69,88.3,17,3,13152,7.40
Luis Robert,CHW,56,247,53,9,0,7,32,36,8,1,45,3,56,89.6,19,11,20043,8.73
Jake Cronenworth,SDP,73,329,41,18,2,7,47,41,32,1,64,10,101,87.4,12,1,18036,7.75
Brandon Belt,SFG,37,153,19,3,1,5,17,12,22,1,44,3,37,87.8,11,1,10264,6.62
Eric Hosmer,SDP,67,278,51,14,0,6,27,32,24,5,47,0,46,88.7,11,0,3516,6.85
Bobby Witt Jr.,KCR,69,287,32,16,5,11,40,37,17,1,69,3,92,91.3,20,11,25764,8.36
MJ Melendez,KCR,46,181,22,7,1,6,16,17,24,1,40,0,47,90.3,10,0,22197,6.20
Luke Voit,SDP,55,233,24,13,0,9,27,32,27,1,80,1,43,89.5,19,1,14811,7.42
Cal Raleigh,SEA,45,151,10,7,0,9,15,19,17,0,46,1,44,90.5,12,0,21534,5.76
Nico Hoerner,CHC,58,212,46,6,3,4,20,22,8,2,20,3,55,88.6,7,6,21479,6.41
Nelson Cruz,WSN,69,289,44,12,0,8,34,43,31,1,63,1,59,90.5,25,2,2434,7.28
Zack Collins,TOR,23,73,6,4,0,4,7,10,6,0,29,1,21,93.4,5,0,19181,5.48
Jack Suwinski,PIT,54,190,18,6,0,12,26,22,17,1,60,2,44,88.5,15,2,22244,6.48
Austin Barnes,LAD,27,88,8,2,0,4,14,11,14,0,17,1,25,89.5,4,0,12158,5.70
Jorge Soler,MIA,65,281,28,13,0,13,31,33,29,1,79,3,70,91.1,21,0,14221,7.28
Jean Segura,PHI,44,179,36,4,0,6,22,19,10,1,26,2,42,89.8,8,8,5933,7.64
Tucupita Marcano,PIT,19,68,11,3,0,2,9,5,5,0,16,0,15,86.4,2,1,22871,5.84
Jose Iglesias,COL,59,230,49,15,0,0,20,18,11,0,24,5,51,84.5,0,2,10231,5.76
Ke'Bryan Hayes,PIT,64,272,44,15,2,3,32,24,26,0,61,2,58,91.8,12,8,18577,7.20
Joey Votto,CIN,55,222,21,13,1,5,19,23,28,0,54,6,51,89.9,14,0,4314,6.15
Ryan McMahon,COL,71,290,39,13,2,6,29,37,34,0,79,3,60,91.7,17,0,15112,6.54
Christian Yelich,MIL,72,314,47,11,2,7,46,27,37,1,76,2,56,91.3,21,11,11477,7.82
Gabriel Moreno,TOR,10,34,10,1,0,0,3,4,1,0,2,0,9,87.7,0,0,22664,5.10
Jesse Winker,SEA,72,303,41,11,0,6,24,30,48,1,54,1,80,87.9,14,0,13590,6.19
Omar Narvaez,MIL,42,160,25,9,1,2,13,13,14,1,34,3,46,84.6,4,0,13338,5.62
Wilmer Flores,SFG,67,270,37,13,0,9,37,40,21,1,43,5,89,88.3,12,0,5827,7.07
Harold Castro,DET,48,165,30,8,2,4,18,17,4,0,30,1,38,88.5,10,0,14691,5.54
Thairo Estrada,SFG,68,262,44,12,1,6,40,31,16,0,39,5,48,86.3,5,11,16426,7.34
David MacKinnon,LAA,7,15,3,0,0,0,0,4,3,0,1,0,4,86.9,0,0,19625,3.29
Riley Greene,DET,8,35,7,0,0,0,6,2,7,0,5,0,5,81.4,0,1,25976,7.00
Gilberto Celestino,MIN,46,130,29,5,0,0,12,5,10,0,27,2,14,86.9,1,0,20233,3.70
Roberto Perez,PIT,21,69,10,2,0,2,8,8,9,0,25,0,12,89.3,4,0,2900,5.24
Carlos Santana,KCR,52,212,24,10,0,4,17,21,36,1,28,0,61,90.2,11,0,2396,6.00
Daniel Vogelbach,PIT,56,206,22,7,1,9,23,23,24,1,52,0,60,91,17,0,14130,6.09
Daulton Varsho,ARI,67,275,35,14,0,10,34,32,19,0,67,5,79,88.2,17,4,19918,7.09
Anthony Rendon,LAA,45,188,22,10,0,5,15,24,23,0,32,1,56,89.7,11,2,12861,6.71
Jesus Aguilar,MIA,64,267,41,12,0,9,24,31,18,0,63,1,78,87.7,14,0,11342,6.58
Seth Brown,OAK,69,241,24,14,2,10,23,36,18,1,65,1,68,90.4,19,7,18171,6.54
Curt Casali,SFG,38,118,18,3,0,4,13,14,12,0,33,1,30,87.8,4,0,12510,4.97
Teoscar Hernandez,TOR,48,199,25,12,1,7,23,28,11,0,54,2,44,92.1,18,3,13066,7.42
Corey Seager,TEX,69,303,38,9,0,15,35,32,28,3,54,1,90,90.8,24,3,13624,7.57
Kolten Wong,MIL,52,209,25,8,3,5,26,17,21,0,34,5,56,86.5,5,8,12532,7.06
Bo Bichette,TOR,71,320,49,15,0,12,40,39,19,0,80,0,67,91.1,19,5,19612,7.93
Dylan Carlson,STL,56,217,29,14,1,4,22,17,18,0,35,3,57,84.9,7,3,20126,6.07
Jace Peterson,MIL,64,192,23,8,2,6,26,25,19,1,48,1,43,88.1,10,9,12325,5.84
Josh Donaldson,NYY,55,232,27,12,0,6,21,20,27,0,61,3,52,91.2,15,1,5038,6.33
Matt Chapman,TOR,67,264,29,13,0,10,38,31,25,0,66,3,84,92,19,0,16505,6.66
Darin Ruf,SFG,63,240,33,7,0,6,33,26,32,0,63,3,51,89.9,11,2,9929,6.22
Santiago Espinal,TOR,72,277,44,18,0,5,27,32,20,1,49,1,73,87,10,3,19997,6.24
Garrett Hampson,COL,33,98,14,2,2,2,15,9,11,0,24,0,21,85.6,1,2,19262,5.09
Trevor Story,BOS,66,289,32,15,0,11,40,50,27,3,87,3,83,88.9,20,10,12564,8.74
Tyrone Taylor,MIL,58,218,24,13,1,9,22,32,11,0,48,3,70,89,13,1,13675,6.48
Jordan Luplow,ARI,45,129,6,2,0,10,20,20,14,1,37,3,36,87.6,8,4,16424,5.87
