rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
235,Leury Garcia,CHW,96,380,343,93,4,25.7%,5.8%,.271,.370,.099,6.8%,19.7%
236,Luis Guillorme,NYM,52,158,142,39,1,26.3%,3.2%,.275,.331,.056,9.5%,14.6%
237,Yoan Moncada,CHW,89,383,329,76,3,30.5%,4.4%,.231,.337,.106,12.5%,27.9%
238,Ozzie Albies,ATL,105,458,424,99,17,46.4%,10.5%,.233,.417,.184,6.6%,17.0%
239,Austin Barnes,LAD,59,175,150,30,7,37.0%,17.5%,.200,.367,.167,11.4%,23.4%
240,Kole Calhoun,- - -,61,226,209,50,8,34.7%,15.4%,.239,.397,.158,6.2%,26.5%
241,Randal Grichuk,- - -,101,380,355,87,13,43.1%,11.5%,.245,.400,.155,5.3%,24.7%
242,Dylan Moore,SEA,83,242,208,43,7,47.9%,10.3%,.207,.361,.154,10.7%,26.4%
243,Cal Raleigh,SEA,48,164,147,29,8,47.0%,17.0%,.197,.429,.231,7.9%,29.9%
244,Ryan Zimmerman,WSN,52,140,131,29,8,33.0%,26.7%,.221,.443,.221,5.7%,29.3%
245,Steven Duggar,- - -,64,187,173,43,3,33.0%,8.3%,.249,.382,.133,7.5%,33.7%
246,Jake Bauers,- - -,56,159,138,32,3,44.7%,7.1%,.232,.333,.101,12.6%,27.0%
247,Francisco Lindor,NYM,100,435,386,85,14,40.9%,11.4%,.220,.386,.166,9.0%,20.2%
248,Jesus Sanchez,MIA,65,257,236,51,12,37.0%,19.7%,.216,.407,.191,7.4%,27.6%
249,Elvis Andrus,OAK,108,413,381,97,7,31.8%,6.9%,.255,.373,.118,6.8%,14.8%
250,Reese McGuire,- - -,52,173,158,42,1,37.5%,2.2%,.266,.386,.120,3.5%,22.0%
251,Kyle Farmer,CIN,101,382,352,91,7,33.2%,7.1%,.259,.369,.111,3.7%,14.9%
252,Lorenzo Cain,MIL,67,252,234,56,8,33.3%,12.9%,.239,.397,.158,6.0%,19.4%
253,Trevor Story,- - -,109,453,403,84,17,46.4%,13.2%,.208,.400,.191,9.1%,28.0%
254,Owen Miller,CLE,65,248,227,58,4,30.5%,7.5%,.256,.379,.123,6.0%,23.0%
255,Miguel Sano,MIN,72,287,256,51,14,40.5%,22.6%,.199,.410,.211,10.1%,36.6%
256,Brandon Drury,- - -,56,179,164,35,8,37.7%,17.4%,.213,.409,.195,6.7%,24.0%
