playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%
14169,Kyle Zimmer,KCR,37.1,143,3.257456171,1,1.125,0.2962963,0.31707317,0.26573427
14212,Josh Hader,MIL,21,81,1.307356954,1,0.85714286,0.42857143,0.25714286,0.4691358
14295,Wandy Peralta,2 Tms,39.1,157,2.911282676,2,1.01694915,0.22916667,0.26262626,0.26751592
14309,Frankie Montas,OAK,160.2,690,3.876052329,20,1.36307054,0.35159817,0.29662921,0.25507246
14332,Joel Payamps,3 Tms,27.2,112,3.845365234,2,1.04819277,0.45,0.32098765,0.17857143
14361,Ty Blach,COL,13.2,51,3.783655036,1,0.80487805,0.41025641,0.23076923,0.15686275
14374,Tyler Glasnow,TBR,68.1,259,2.388553131,7,0.83414634,0.32638889,0.375,0.37837838
14375,Amir Garrett,2 Tms,36.2,155,3.137647067,3,1.25454545,0.28,0.34666667,0.36129032
14420,Jackson Stephens,ATL,10,48,4.225118446,1,1.6,0.25,0.21875,0.20833333
14444,Hyun Jin Ryu,TOR,54.2,221,2.878602544,3,1.11585366,0.32317073,0.28915663,0.19909502
14506,J.B. Wendelken,2 Tms,38,171,4.66189084,3,1.57894737,0.28695652,0.30434783,0.1754386
14527,Jorge Lopez,2 Tms,81.2,376,5.77611028,16,1.59183673,0.3503937,0.37109375,0.18882979
14542,Carlos Estevez,COL,54.1,234,4.692457827,11,1.39877301,0.43030303,0.34911243,0.21794872
14552,Jose Ruiz,CHW,40,165,5.708751595,9,1.2,0.46086957,0.36521739,0.2
14646,Rowan Wick,CHC,34.2,158,3.185038891,1,1.64423077,0.26041667,0.20833333,0.24683544
14663,Chi Chi Gonzalez,3 Tms,65.2,299,4.799117125,8,1.64467005,0.2893617,0.33613445,0.12040134
14665,Jandel Gustave,MIL,11.1,43,4.564625192,2,0.88235294,0.36363636,0.36363636,0.18604651
14672,Dillon Maples,CHC,15.2,75,5.149667551,0,1.46808511,0.25,0.21428571,0.29333333
14677,Duane Underwood Jr.,2 Tms,47.2,216,5.287104838,10,1.57342657,0.3557047,0.34899329,0.21296296
14681,Andres Machado,WSN,27.1,116,3.956836352,3,1.24390244,0.375,0.35,0.21551724
14682,Luis Perdomo,2 Tms,13.2,53,4.194787654,1,1.17073171,0.16216216,0.30555556,0.18867925
14706,Anthony Banda,3 Tms,22.2,109,3.863900891,1,1.76470588,0.34615385,0.30769231,0.16513761
14710,Edwin Diaz,NYM,59,234,2.977285113,6,1.01694915,0.47619048,0.25233645,0.4017094
14719,Ty Buttrey,LAA,11.2,52,6.877134072,3,1.54285714,0.36842105,0.43589744,0.13461538
14739,Paul Blackburn,OAK,53.1,240,4.471086299,7,1.59375,0.27906977,0.30285714,0.17916667
14765,Julio Urias,LAD,83,320,3.78985685,15,0.80722892,0.56521739,0.31279621,0.29375
14771,Emilio Pagan,2 Tms,50.1,203,4.713824137,11,1.05298013,0.56692913,0.328125,0.28571429
14814,Buck Farmer,2 Tms,25.2,129,6.758059531,6,1.94805195,0.35294118,0.30232558,0.17829457
14843,Michael Lorenzen,2 Tms,63.2,283,4.91501882,7,1.52356021,0.27918782,0.30845771,0.1590106
14857,Joe Mantiply,ARI,31,138,2.284278329,1,1.41935484,0.275,0.25301205,0.29710145
14862,Zack Godley,2 Tms,15,76,7.188903831,4,2,0.38,0.38,0.18421053
14874,Sam Moll,OAK,14.1,61,3.065796512,2,1.11627907,0.36363636,0.25714286,0.3442623
14875,Caleb Smith,2 Tms,49.1,214,4.396115214,8,1.23648649,0.49295775,0.29166667,0.23364486
14899,Taylor Williams,3 Tms,14,59,3.038379,0,1.28571429,0.36842105,0.42105263,0.22033898
14916,Jon Gray,2 Tms,138.1,594,4.595705182,19,1.30120482,0.35802469,0.34643735,0.20538721
14974,Tyler Webb,STL,17.2,82,5.162060789,1,1.64150943,0.43396226,0.30188679,0.15853659
14975,Chad Kuhl,2 Tms,99.1,436,5.414753125,16,1.46979866,0.375,0.36267606,0.20183486
14986,Giovanny Gallegos,STL,56.2,220,2.685662125,5,0.97058824,0.4887218,0.32089552,0.31818182
14993,Scott Barlow,KCR,58.1,252,3.662544172,7,1.30285714,0.3557047,0.33774834,0.28968254
15007,Yacksel Rios,3 Tms,13.2,53,3.540060596,0,1.02439024,0.45454545,0.3030303,0.20754717
15009,Kyle Finnegan,WSN,53.1,234,4.757687908,7,1.425,0.34782609,0.30496454,0.24358974
15010,Corey Knebel,3 Tms,36,153,4.737345384,4,1.30555556,0.40196078,0.23300971,0.18954248
15015,Alex Reyes,STL,44.2,198,4.987616421,5,1.43283582,0.44117647,0.30188679,0.26262626
15036,Chase De Jong,2 Tms,41.1,185,6.303672977,11,1.52419355,0.49612403,0.39694656,0.18918919
15038,German Marquez,COL,178,790,3.844289395,15,1.47191011,0.24500907,0.33393178,0.19493671
15042,Tim Mayza,TOR,28.2,105,2.70453342,2,0.80232558,0.12121212,0.16176471,0.28571429
15043,Lou Trivino,OAK,42.2,203,4.807817937,5,1.8515625,0.36090226,0.27067669,0.20197044
15046,Trevor Gott,2 Tms,11.1,56,8.530871861,5,1.76470588,0.5,0.38461538,0.19642857
15047,Austin Voth,2 Tms,64.1,293,5.43664837,12,1.64766839,0.40952381,0.29107981,0.17064846
15068,Yency Almonte,2 Tms,43.1,186,4.462159925,4,1.45384615,0.31746032,0.3046875,0.1827957
15071,Kyle McGowin,WSN,17,76,5.409102184,4,1.35294118,0.51282051,0.23076923,0.32894737
15101,Luke Farrell,2 Tms,11,49,3.810934117,1,1.45454545,0.38709677,0.25806452,0.24489796
15130,Drew Anderson,2 Tms,11,46,4.898602954,1,1.27272727,0.42424242,0.32352941,0.13043478
15136,Jake Newberry,KCR,10.1,49,4.929905971,1,2.03225806,0.24137931,0.34482759,0.2244898
15139,Ashton Goudeau,2 Tms,30.2,126,4.695644672,3,1.27173913,0.33684211,0.32631579,0.13492063
15231,Aaron Slegers,2 Tms,18,87,6.070407909,3,1.88888889,0.328125,0.31818182,0.11494253
15256,Cole Sulser,2 Tms,57,221,2.603789449,1,0.98245614,0.38732394,0.30136986,0.24434389
15264,Keynan Middleton,3 Tms,16,73,4.86096438,1,1.6875,0.46666667,0.2,0.19178082
15288,Adam Cimber,3 Tms,39,156,3.647890174,2,1.02564103,0.57142857,0.26666667,0.20512821
15291,Steven Brault,PIT,10.2,46,3.557063562,0,1.125,0.35714286,0.28571429,0.2173913
15423,Andrew Heaney,3 Tms,57.2,248,3.399497086,6,1.30057803,0.34161491,0.24539877,0.25806452
15440,Matthew Boyd,DET,29.2,118,3.71728948,4,1.04494382,0.29761905,0.25882353,0.22881356
15451,Mike Mayers,LAA,54.2,233,3.647912287,9,1.24390244,0.53225806,0.34615385,0.34334764
15454,Nick Pivetta,2 Tms,100.2,437,4.65554366,16,1.35099338,0.4265233,0.31672598,0.2402746
15463,Jose De Leon,CIN,10.2,61,9.269798842,4,2.625,0.4,0.33333333,0.26229508
15467,Marco Gonzales,SEA,70.2,296,4.285143156,10,1.18867925,0.34841629,0.35874439,0.18243243
15474,Lucas Giolito,CHW,152.2,624,3.122220453,16,1.13973799,0.39835165,0.30081301,0.31410256
15488,Antonio Senzatela,COL,145.1,632,4.130103319,11,1.46559633,0.27364185,0.33996024,0.12341772
15514,Kendall Graveman,3 Tms,47,192,3.671236742,4,1.19148936,0.31496063,0.3203125,0.22916667
