playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
25931,Michael Harris II,ATL,107,3,0.194,0.252,0.276,0.355,88.6,8.2,0.092,0.4762,34, -   ,0.156,0.3235,0.2857,0.2857,73,3,0.211,0.219,0.2727,0.3818
12546,C.J. Cron,COL,313,17,0.249,0.265,0.41,0.317,87.7,14.1,0.126,0.3095,247,15,0.281,0.2591,0.4494,0.3291,665,34,0.245,0.229,0.407,0.3558
18314,Dansby Swanson,ATL,305,13,0.199,0.269,0.4,0.359,90.1,16.9,0.128,0.4615,275,11,0.209,0.2291,0.4011,0.3804,947,39,0.195,0.271,0.3977,0.341
19950,Andres Gimenez,CLE,212,8,0.195,0.208,0.309,0.284,89.2,11.2,0.077,0.3696,112,3,0.126,0.1786,0.3544,0.1647,442,13,0.166,0.24,0.3367,0.301
5452,Ji-Man Choi,TBR,198,6,0.186,0.273,0.36,0.313,92.6,12,0.122,0.5122,123,1,0.107,0.3821,0.2969,0.2308,525,19,0.202,0.248,0.3786,0.3839
19422,Brian Serven,COL,71,3,0.185,0.211,0.36,0.26,84.8,10.7,0.04,0.2778,16,1,0.267,0.125,0.3846,0.3077,55,2,0.16,0.236,0.3514,0.2432
15362,Jeff McNeil,NYM,249,4,0.137,0.116,0.349,0.288,87.9,12.8,0.02,0.2647,260, -   ,0.06,0.1538,0.3579,0.2216,624,15,0.151,0.114,0.3232,0.3212
19683,Mike Brosseau,MIL,82,4,0.183,0.256,0.36,0.38,88.9,11.9,0.08,0.6111,202,11,0.256,0.2723,0.4597,0.4516,147,3,0.107,0.34,0.3086,0.284
16252,Trea Turner,LAD,313,10,0.18,0.195,0.33,0.33,90.8,8.2,0.088,0.4267,314,18,0.298,0.1274,0.377,0.3934,904,32,0.181,0.185,0.3234,0.3323
20437,Royce Lewis,MIN,41,2,0.25,0.122,0.486,0.343,90.7,19.4,0.057,0.3529,9, -   ,0.25, -   ,0.5,0.375,32,2,0.25,0.156,0.4815,0.3333
19611,Vladimir Guerrero Jr.,TOR,307,17,0.23,0.173,0.313,0.379,94,5,0.121,0.4478,284,20,0.282,0.1338,0.3005,0.3793,964,54,0.25,0.169,0.3449,0.4087
11615,Brandon Drury,CIN,257,15,0.255,0.214,0.403,0.37,89.6,14.4,0.11,0.3973,128,9,0.304,0.2422,0.3936,0.3723,266,10,0.167,0.207,0.3797,0.3262
9777,Nolan Arenado,STL,299,14,0.227,0.127,0.506,0.296,88.6,23.1,0.077,0.2881,232,15,0.27,0.1293,0.538,0.4022,921,41,0.215,0.135,0.484,0.3088
15172,Tim Anderson,CHW,197,5,0.129,0.117,0.252,0.27,88.4,4.4,0.08,0.4878,230,12,0.265,0.1783,0.2472,0.3708,739,20,0.132,0.204,0.2333,0.302
20454,Jazz Chisholm Jr.,MIA,240,14,0.283,0.275,0.404,0.369,90.2,14.9,0.167,0.4915,203,6,0.17,0.3202,0.371,0.246,606,28,0.219,0.272,0.3457,0.349
16153,Austin Slater,SFG,124,5,0.196,0.298,0.292,0.348,88,4.6,0.121,0.5263,318,17,0.244,0.2044,0.3171,0.335,216,5,0.12,0.361,0.1982,0.2544
26197,Andrew Vaughn,CHW,229,7,0.16,0.162,0.347,0.312,91.6,9.1,0.069,0.3333,191,9,0.246,0.2094,0.3858,0.3701,507,13,0.129,0.193,0.346,0.3297
12037,Jon Berti,MIA,163,2,0.128,0.233,0.301,0.272,87.9,5.5,0.058,0.3871,200,4,0.125,0.25,0.2605,0.2417,383,4,0.098,0.225,0.2448,0.2582
16313,Yairo Munoz,PHI,22,2,0.316,0.182,0.333,0.467,84.5,5.4,0.067,0.6,25, -   , -   ,0.2,0.1667,0.3889,53,3,0.269,0.226,0.35,0.45
17919,Ian Happ,CHC,287,8,0.18,0.192,0.339,0.349,89.9,11,0.089,0.4308,243,6,0.133,0.284,0.2979,0.3034,810,39,0.232,0.253,0.3434,0.3616
16478,Kyle Schwarber,PHI,315,21,0.283,0.292,0.512,0.351,92.9,17.6,0.207,0.5,334,12,0.159,0.3114,0.4253,0.3314,676,52,0.32,0.268,0.4268,0.4045
17988,Tyler Stephenson,CIN,155,5,0.163,0.265,0.327,0.287,86.3,12.1,0.069,0.3333,204,6,0.156,0.1863,0.3264,0.3333,373,11,0.158,0.233,0.2408,0.2735
18401,Ronald Acuna Jr.,ATL,196,7,0.174,0.26,0.353,0.345,91.3,9.6,0.168,0.5476,171,10,0.286,0.2281,0.3854,0.3854,587,35,0.279,0.267,0.4324,0.4088
14968,Victor Caratini,MIL,119,5,0.186,0.185,0.316,0.342,88.7,7.2,0.105,0.4583,157,5,0.134,0.2739,0.2935,0.3043,450,8,0.102,0.204,0.3191,0.3191
18345,Kyle Tucker,HOU,272,14,0.229,0.162,0.482,0.342,89,21.3,0.114,0.4194,362,22,0.266,0.1381,0.4456,0.386,705,31,0.242,0.184,0.449,0.3712
19960,Taylor Trammell,SEA,88,3,0.24,0.273,0.412,0.377,88.6,18,0.113,0.3333,73,1,0.098,0.3973,0.4242,0.2857,193,10,0.253,0.363,0.4141,0.3663
15279,Garrett Cooper,MIA,258,5,0.145,0.236,0.269,0.339,91,8.5,0.094,0.5,171,8,0.226,0.2515,0.3363,0.3982,470,12,0.154,0.249,0.2475,0.3119
18839,Josh Naylor,CLE,188,8,0.219,0.165,0.357,0.307,89.8,11.8,0.093,0.36,157,3,0.099,0.2548,0.2718,0.2039,385,13,0.182,0.125,0.3323,0.3194
18433,P.J. Higgins,CHC,58,2,0.196,0.172,0.421,0.238,85.7,12.9, -   ,0.1875,23, -   ,0.1,0.087,0.4118,0.2778,60,2,0.148,0.267,0.4167,0.2051
20123,Juan Soto,WSN,320,14,0.218,0.15,0.37,0.287,89.6,6.4,0.129,0.4545,413,19,0.213,0.1719,0.3248,0.3321,757,37,0.257,0.129,0.3017,0.3874
14162,Carlos Correa,MIN,225,7,0.16,0.236,0.331,0.383,92,9.6,0.11,0.4118,355,7,0.141,0.1859,0.3305,0.3431,730,31,0.195,0.208,0.3353,0.3789
18360,Austin Riley,ATL,313,18,0.253,0.275,0.386,0.431,93.4,12.2,0.157,0.4868,282,10,0.224,0.2908,0.3873,0.3642,899,49,0.225,0.246,0.3626,0.3721
19363,Austin Hays,BAL,288,10,0.193,0.184,0.377,0.338,89.3,11.6,0.071,0.3875,325,16,0.234,0.1662,0.374,0.3012,626,20,0.165,0.209,0.3722,0.2991
4949,Giancarlo Stanton,NYY,247,17,0.26,0.275,0.38,0.427,96.2,9.3,0.24,0.4912,262,15,0.228,0.2634,0.3782,0.4167,658,41,0.256,0.278,0.3559,0.4261
19755,Shohei Ohtani,LAA,311,16,0.23,0.241,0.385,0.363,93,12.8,0.179,0.4416,391,22,0.275,0.2916,0.3392,0.4043,734,47,0.283,0.272,0.4133,0.4104
3473,Anthony Rizzo,NYY,305,19,0.267,0.17,0.493,0.332,89.6,18,0.111,0.402,328,14,0.185,0.128,0.377,0.3102,796,38,0.224,0.17,0.4362,0.3401
12719,Dillon Thomas,LAA,4, -   , -   ,0.25, -   , -   ,51.5,-53.9, -   , -   ,5, -   , -   ,0.4,0.3333, -   ,8, -   , -   ,0.75, -   , -   
15676,Jose Abreu,CHW,304,9,0.164,0.158,0.358,0.405,93.1,9.5,0.102,0.3896,268,18,0.294,0.1978,0.3763,0.3656,957,40,0.204,0.206,0.3354,0.3929
19197,Will Smith,LAD,245,11,0.201,0.147,0.456,0.322,90.4,18.5,0.122,0.4024,236,10,0.195,0.1568,0.4556,0.3136,647,34,0.25,0.189,0.4696,0.3832
12856,George Springer,TOR,273,13,0.226,0.212,0.384,0.31,89.5,15.1,0.075,0.2958,202,11,0.253,0.2426,0.3902,0.3659,633,38,0.269,0.199,0.4404,0.3295
12927,Brandon Nimmo,NYM,289,5,0.153,0.163,0.282,0.301,89.9,5.2,0.068,0.386,285,4,0.144,0.207,0.3371,0.2541,615,17,0.17,0.179,0.2847,0.3149
20332,Luis Gonzalez,SFG,180,3,0.145,0.206,0.353,0.262,87.8,10.5,0.032,0.3571,46, -   ,0.051,0.2391,0.3462,0.1034,147,3,0.178,0.197,0.3636,0.3204
7739,Travis d'Arnaud,ATL,205,10,0.228,0.195,0.373,0.359,88.3,11.4,0.098,0.4386,129,4,0.162,0.2093,0.2527,0.4066,489,22,0.211,0.237,0.3522,0.3582
14344,Matt Olson,ATL,327,10,0.21,0.22,0.389,0.384,92.3,14.7,0.118,0.378,425,27,0.269,0.2188,0.4532,0.3441,820,36,0.233,0.206,0.4106,0.3977
15124,Tim Locastro,NYY,15,1,0.231,0.267,0.222,0.222,84.4,0.3,0.111,0.5,123,4,0.179,0.2114,0.4177,0.2963,130,1,0.052,0.192,0.3483,0.1868
21636,Jeremy Pena,HOU,215,9,0.195,0.237,0.375,0.281,89.2,12.4,0.095,0.2963,60,3,0.236,0.1667,0.3778,0.3111,155,6,0.179,0.265,0.3737,0.2673
18289,Brian Anderson,MIA,123,2,0.143,0.276,0.324,0.324,87.1,7,0.113,0.3043,153,4,0.135,0.3464,0.3258,0.3146,463,16,0.171,0.242,0.3368,0.3228
13185,Orlando Arcia,ATL,102,3,0.156,0.225,0.353,0.435,91.8,9.2,0.087,0.5,109,2,0.135,0.1743,0.3333,0.3846,271,8,0.149,0.203,0.3247,0.3316
16572,Connor Joe,COL,304,5,0.122,0.197,0.32,0.236,84.5,11.8,0.049,0.3231,155,5,0.167,0.1871,0.381,0.2667,360,8,0.139,0.2,0.3305,0.3138
14712,Manuel Margot,TBR,200,3,0.121,0.175,0.331,0.279,89.7,12,0.048,0.2292,299,5,0.12,0.1204,0.3172,0.2857,524,9,0.116,0.179,0.3584,0.2952
4106,Michael Brantley,HOU,277,5,0.128,0.108,0.313,0.321,89.8,10.7,0.06,0.3881,322,4,0.097,0.1398,0.2588,0.3281,650,14,0.156,0.102,0.312,0.3514
16472,Rhys Hoskins,PHI,312,13,0.209,0.256,0.428,0.32,89.7,17.8,0.103,0.3494,295,19,0.333,0.2034,0.5326,0.375,645,31,0.219,0.265,0.4613,0.3117
15149,Trey Mancini,BAL,285,7,0.139,0.204,0.4,0.338,89.4,12,0.113,0.4487,314,12,0.202,0.1975,0.3846,0.3077,587,16,0.145,0.237,0.317,0.3582
18889,Danny Mendick,CHW,106,3,0.155,0.217,0.329,0.24,86.8,10.3,0.04,0.25,140,3,0.101,0.2357,0.383,0.2604,266,5,0.117,0.214,0.3005,0.2097
20391,Luis Garcia,WSN,97,2,0.149,0.196,0.263,0.382,88.2,3.5,0.066,0.65,130,1,0.086,0.2385,0.125,0.2165,353,9,0.164,0.17,0.2563,0.3466
15679,Rowdy Tellez,MIL,270,13,0.227,0.207,0.433,0.369,90.5,14,0.118,0.4321,157,3,0.106,0.2293,0.3208,0.283,565,29,0.235,0.186,0.4108,0.3863
