rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
56,Andrew McCutchen,MIL,13,58,52,16,3,32.7%,18.8%,.308,.558,.250,90.4,10.2%,46.9%,5.2%,8.6%,8.5%,212,0,1
57,Trea Turner,LAD,13,63,58,21,2,22.2%,20.0%,.362,.534,.172,88.8,4.4%,46.7%,22.2%,4.8%,15.0%,253,2,0
58,Gavin Sheets,CHW,10,37,33,10,1,35.7%,10.0%,.303,.545,.242,86.7,3.6%,46.4%,13.5%,8.1%,5.8%,154,0,0
59,Ji-Man Choi,TBR,9,40,31,9,1,20.0%,25.0%,.290,.452,.161,88.9,9.5%,23.8%,25.0%,22.5%,10.5%,172,0,0
60,Aramis Garcia,CIN,9,23,21,9,0,14.3%,0.0%,.429,.429,.000,84.1,0.0%,33.3%,30.4%,0.0%,16.9%,89,0,1
61,Darick Hall,PHI,5,18,18,4,3,38.5%,60.0%,.222,.722,.500,88.1,23.1%,38.5%,27.8%,0.0%,13.6%,66,0,0
62,Carlos Correa,MIN,14,55,47,14,4,46.2%,22.2%,.298,.574,.277,89.9,15.4%,35.9%,18.2%,10.9%,9.7%,227,0,0
63,Starling Marte,NYM,11,46,41,12,2,18.9%,28.6%,.293,.537,.244,89.6,10.8%,37.8%,8.7%,6.5%,10.2%,167,1,0
64,Javier Baez,DET,11,46,44,13,3,34.3%,25.0%,.295,.636,.341,87.1,11.4%,31.4%,21.7%,2.2%,14.6%,151,0,1
65,Cal Raleigh,SEA,12,44,37,9,2,61.5%,12.5%,.243,.595,.351,92.5,23.1%,50.0%,27.3%,11.4%,19.0%,184,0,0
66,Brian Anderson,MIA,6,18,16,5,1,20.0%,50.0%,.313,.500,.188,96.1,10.0%,50.0%,33.3%,11.1%,14.9%,87,0,0
67,Connor Joe,COL,10,45,36,11,0,24.0%,0.0%,.306,.417,.111,92.3,0.0%,52.0%,24.4%,20.0%,8.5%,199,1,0
68,Ronald Acuna Jr.,ATL,8,36,31,10,1,24.0%,16.7%,.323,.452,.129,85.8,8.0%,28.0%,16.7%,8.3%,10.3%,126,4,1
69,Taylor Ward,LAA,12,52,46,14,2,44.8%,15.4%,.304,.500,.196,91.9,13.8%,48.3%,32.7%,11.5%,10.3%,224,1,0
70,Michael Perez,PIT,10,34,33,9,4,46.4%,30.8%,.273,.636,.364,90.3,13.8%,44.8%,14.7%,0.0%,11.2%,116,0,0
71,Keston Hiura,MIL,4,16,14,4,1,22.2%,50.0%,.286,.500,.214,91.4,11.1%,55.6%,31.3%,6.3%,13.1%,61,1,0
72,Andres Gimenez,CLE,13,53,46,14,2,38.5%,13.3%,.304,.478,.174,88.9,7.3%,39.0%,11.3%,3.8%,10.6%,180,2,0
73,Nicky Lopez,KCR,9,30,28,10,0,29.2%,0.0%,.357,.500,.143,87.0,0.0%,28.0%,13.3%,3.3%,8.9%,101,1,1
74,J.J. Matijevic,HOU,6,14,13,3,1,50.0%,33.3%,.231,.615,.385,101.3,16.7%,100.0%,50.0%,0.0%,27.8%,54,0,0
75,Dominic Smith,NYM,8,17,17,6,0,33.3%,0.0%,.353,.529,.176,93.0,8.3%,58.3%,29.4%,0.0%,12.7%,63,0,0
76,C.J. Cron,COL,12,53,47,14,2,43.2%,12.5%,.298,.489,.191,87.6,8.1%,43.2%,18.9%,9.4%,10.6%,227,0,0
77,Eugenio Suarez,SEA,13,56,49,15,1,38.7%,8.3%,.306,.469,.163,89.2,12.9%,41.9%,32.1%,12.5%,13.6%,236,0,0
78,Elvis Andrus,OAK,11,39,35,10,2,38.5%,20.0%,.286,.514,.229,88.2,7.7%,34.6%,23.1%,10.3%,10.1%,159,1,1
79,Christian Walker,ARI,11,50,37,9,3,45.5%,20.0%,.243,.486,.243,90.4,9.1%,39.4%,12.0%,20.0%,5.1%,177,0,0
80,Luis Urias,MIL,13,54,47,13,3,52.8%,15.8%,.277,.532,.255,88.0,8.3%,44.4%,22.2%,11.1%,7.4%,229,0,0
81,Ian Happ,CHC,13,57,49,14,1,21.1%,12.5%,.286,.469,.184,88.6,5.3%,34.2%,19.3%,8.8%,12.6%,231,0,0
82,Wilmer Flores,SFG,12,41,33,9,1,48.1%,7.7%,.273,.424,.152,88.6,3.7%,40.7%,14.6%,19.5%,7.0%,171,0,0
83,Kyle Tucker,HOU,12,48,41,10,3,52.9%,16.7%,.244,.512,.268,93.6,17.6%,52.9%,14.6%,14.6%,9.3%,204,3,1
84,Luis Rengifo,LAA,12,46,44,13,3,33.3%,25.0%,.295,.545,.250,91.2,11.1%,47.2%,17.4%,4.3%,16.9%,172,0,0
85,Bryan Reynolds,PIT,14,58,51,14,4,47.5%,21.1%,.275,.549,.275,91.4,10.0%,45.0%,20.7%,10.3%,12.8%,218,0,0
86,Rowdy Tellez,MIL,13,53,46,8,6,40.0%,37.5%,.174,.609,.435,95.7,17.5%,50.0%,11.3%,11.3%,7.1%,198,0,0
87,Christopher Morel,CHC,12,56,53,16,3,33.3%,30.0%,.302,.528,.226,89.0,16.1%,32.3%,39.3%,5.4%,15.9%,245,0,1
88,Hunter Dozier,KCR,10,42,39,11,2,30.8%,25.0%,.282,.538,.256,88.5,11.5%,38.5%,31.0%,7.1%,14.2%,162,1,1
89,Nelson Velazquez,CHC,11,28,24,7,0,31.3%,0.0%,.292,.458,.167,91.0,6.3%,37.5%,28.6%,14.3%,15.1%,106,1,0
