rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
30,Tyler O'Neill,STL,70,132,113,33,7,39.7%,22.6%,.292,.558,.265,12.1%,28.0%
31,Aaron Judge,NYY,136,291,248,68,23,41.1%,31.9%,.274,.577,.302,12.4%,26.5%
32,Darin Ruf,SFG,111,227,187,50,13,39.3%,23.6%,.267,.535,.267,15.0%,21.6%
33,Connor Joe,COL,68,166,142,45,5,37.5%,11.9%,.317,.493,.176,12.0%,19.3%
34,Alejandro Kirk,TOR,58,114,101,31,6,32.2%,20.7%,.307,.535,.228,7.9%,10.5%
35,C.J. Cron,COL,121,250,222,65,14,42.5%,20.6%,.293,.554,.261,9.2%,25.2%
36,Bo Bichette,TOR,107,218,198,62,10,31.4%,20.4%,.313,.525,.212,9.2%,19.3%
37,Santiago Espinal,TOR,100,170,154,54,3,32.1%,7.0%,.351,.481,.130,8.8%,12.4%
38,Frank Schwindel,- - -,75,147,134,39,9,39.8%,20.9%,.291,.560,.269,8.8%,17.7%
39,Robbie Grossman,DET,125,279,232,69,9,36.9%,13.8%,.297,.483,.185,13.6%,21.5%
