Team,H/A,Date,Time,Helper,Stadium,Weather Factor,Park RHH,Park LHH,Pitcher,Pitcher H,Opponent,Opp Pitcher,Opp Throw
NYY,Home,6/14/2022,N,NYY44726,Yankee Stadium,1.032,1.02,1.1,Gerrit Cole,R,TBR,Corey Kluber,R
STL,Home,6/15/2022,N,STL44727,Busch Stadium,1.036,0.84,0.93,Jack Flaherty,R,PIT,Roansy Contreras,R
PIT,Away,6/15/2022,N,PIT44727,Busch Stadium,1.036,0.84,0.93,Roansy Contreras,R,STL,Jack Flaherty,R
ARI,Home,6/15/2022,D,ARI44727,Chase Field,0.983,0.87,0.97,Zac Gallen,R,CIN,Luis Castillo,R
CIN,Away,6/15/2022,D,CIN44727,Chase Field,0.983,0.87,0.97,Luis Castillo,R,ARI,Zac Gallen,R
MIL,Away,6/15/2022,N,MIL44727,Citi Field,1.071,1.07,0.98,Corbin Burnes,R,NYM,David Peterson,L
NYM,Home,6/15/2022,N,NYM44727,Citi Field,1.071,1.07,0.98,David Peterson,L,MIL,Corbin Burnes,R
MIA,Away,6/15/2022,D,MIA44727,Citizens Bank Park,1.035,1.22,1.16,Daniel Castano,L,PHI,Kyle Gibson,R
PHI,Home,6/15/2022,D,PHI44727,Citizens Bank Park,1.035,1.22,1.16,Kyle Gibson,R,MIA,Daniel Castano,L
DET,Home,6/15/2022,D,DET44727,Comerica Park,0.97,0.96,0.88,Alex Faedo,R,CHW,Vince Velaszquez,R
CHW,Away,6/15/2022,D,CHW44727,Comerica Park,0.97,0.96,0.88,Vince Velaszquez,R,DET,Alex Faedo,R
CLE,Away,6/15/2022,N,CLE44727,Coors Field,1.06,1.21,1.22,Konnor Pilkington,L,COL,Austin Gomber,L
COL,Home,6/15/2022,N,COL44727,Coors Field,1.06,1.21,1.22,Austin Gomber,L,CLE,Konnor Pilkington,L
LAA,Away,6/15/2022,N,LAA44727,Dodger Stadium,1.081,1.2,1.05,Reid Detmers,L,LAD,Tyler Anderson,L
LAD,Home,6/15/2022,N,LAD44727,Dodger Stadium,1.081,1.2,1.05,Tyler Anderson,L,LAA,Reid Detmers,L
OAK,Away,6/15/2022,N,OAK44727,Fenway Park,1,0.98,0.84,James Kaprielian,R,BOS,Josh Winckowski,R
BOS,Home,6/15/2022,N,BOS44727,Fenway Park,1,0.98,0.84,Josh Winckowski,R,OAK,James Kaprielian,R
HOU,Away,6/15/2022,D,HOU44727,Globe Life Field,0.981,0.96,0.95,Luis Garcia,R,TEX,Tyson Miller,R
TEX,Home,6/15/2022,D,TEX44727,Globe Life Field,0.981,0.96,0.95,Tyson Miller,R,HOU,Luis Garcia,R
ATL,Away,6/15/2022,N,ATL44727,Nationals Park,1.069,1.09,1.14,Spencer Strider,R,WSN,Erick Fedde,R
WSN,Home,6/15/2022,N,WSN44727,Nationals Park,1.069,1.09,1.14,Erick Fedde,R,ATL,Spencer Strider,R
SFG,Home,6/15/2022,D,SFG44727,Oracle Park,1.04,0.79,0.73,Sam Long,L,KCR,Jon Heasley,R
KCR,Away,6/15/2022,D,KCR44727,Oracle Park,1.04,0.79,0.73,Jon Heasley,R,SFG,Sam Long,L
TOR,Home,6/15/2022,N,TOR44727,Rogers Centre,0.989,1.1,1.15,Jose Berrios,R,BAL,Bruce Zimmermann,L
BAL,Away,6/15/2022,N,BAL44727,Rogers Centre,0.989,1.1,1.15,Bruce Zimmermann,L,TOR,Jose Berrios,R
SEA,Home,6/15/2022,D,SEA44727,T-Mobile Park,1,1.04,0.89,Marco Gonzales,L,MIN,Sonny Gray,R
MIN,Away,6/15/2022,D,MIN44727,T-Mobile Park,1,1.04,0.89,Sonny Gray,R,SEA,Marco Gonzales,L
CHC,Home,6/15/2022,N,CHC44727,Wrigley Field,1.603,0.98,0.83,Caleb Kilian,R,SDP,Ryan Weathers,L
SDP,Away,6/15/2022,N,SDP44727,Wrigley Field,1.603,0.98,0.83,Ryan Weathers,L,CHC,Caleb Kilian,R
TBR,Away,6/15/2022,N,TBR44727,Yankee Stadium,1.009,1.02,1.1,Shane McClanahan,L,NYY,Nestor Cortes,L
NYY,Home,6/15/2022,N,NYY44727,Yankee Stadium,1.009,1.02,1.1,Nestor Cortes,L,TBR,Shane McClanahan,L
MIL,Away,6/16/2022,N,MIL44728,Citi Field,1.071,1.07,0.98,Aaron Ashby,L,NYM,Tylor Megill,R
NYM,Home,6/16/2022,N,NYM44728,Citi Field,1.071,1.07,0.98,Tylor Megill,R,MIL,Aaron Ashby,L
TEX,Away,6/16/2022,N,TEX44728,Comerica Park,1.056,0.96,0.88,Martin Perez,L,DET,Beau Brieske,R
DET,Home,6/16/2022,N,DET44728,Comerica Park,1.056,0.96,0.88,Beau Brieske,R,TEX,Martin Perez,L
CLE,Away,6/16/2022,D,CLE44728,Coors Field,1.008,1.21,1.22,Triston McKenzie,R,COL,Chad Kuhl,R
COL,Home,6/16/2022,D,COL44728,Coors Field,1.008,1.21,1.22,Chad Kuhl,R,CLE,Triston McKenzie,R
OAK,Away,6/16/2022,D,OAK44728,Fenway Park,1,0.98,0.84,Paul Blackburn,R,BOS,Rich Hill,L
BOS,Home,6/16/2022,D,BOS44728,Fenway Park,1,0.98,0.84,Rich Hill,L,OAK,Paul Blackburn,R
WSN,Home,6/16/2022,N,WSN44728,Nationals Park,1.069,1.09,1.14,Patrick Corbin,L,PHI,Zack Wheeler,R
PHI,Away,6/16/2022,N,PHI44728,Nationals Park,1.069,1.09,1.14,Zack Wheeler,R,WSN,Patrick Corbin,L
TOR,Home,6/16/2022,D,TOR44728,Rogers Centre,0.989,1.1,1.15,Kevin Gausman,R,BAL,Tyler Wells,R
BAL,Away,6/16/2022,D,BAL44728,Rogers Centre,0.989,1.1,1.15,Tyler Wells,R,TOR,Kevin Gausman,R
LAA,Away,6/16/2022,N,LAA44728,T-Mobile Park,1,1.04,0.89,Shohei Othani,R,SEA,George Kirby,R
SEA,Home,6/16/2022,N,SEA44728,T-Mobile Park,1,1.04,0.89,George Kirby,R,LAA,Shohei Othani,R
CHC,Home,6/16/2022,D,CHC44728,Wrigley Field,1.603,0.98,0.83,Matt Swarmer,R,SDP,Joe Musgrove,R
SDP,Away,6/16/2022,D,SDP44728,Wrigley Field,1.603,0.98,0.83,Joe Musgrove,R,CHC,Matt Swarmer,R
TBR,Away,6/16/2022,N,TBR44728,Yankee Stadium,1.033,1.02,1.1,Jalen Beeks,L,NYY,Clarke Schmidt,R
NYY,Home,6/16/2022,N,NYY44728,Yankee Stadium,1.033,1.02,1.1,Clarke Schmidt,R,TBR,Jalen Beeks,L
ARI,Home,6/17/2022,N,ARI44729,Chase Field,0.983,0.87,0.97,Madison Bumgarner,L,MIN,Devin Smeltzer,L
MIN,Away,6/17/2022,N,MIN44729,Chase Field,0.983,0.87,0.97,Devin Smeltzer,L,ARI,Madison Bumgarner,L
MIA,Away,6/17/2022,N,MIA44729,Citi Field,1.113,1.07,0.98,Pablo Lopez,R,NYM,Carlos Carrasco,R
NYM,Home,6/17/2022,N,NYM44729,Citi Field,1.113,1.07,0.98,Carlos Carrasco,R,MIA,Pablo Lopez,R
TEX,Away,6/17/2022,N,TEX44729,Comerica Park,0.97,0.96,0.88,Jon Gray,R,DET,Tarik Skubal,L
DET,Home,6/17/2022,N,DET44729,Comerica Park,0.97,0.96,0.88,Tarik Skubal,L,TEX,Jon Gray,R
SDP,Away,6/17/2022,N,SDP44729,Coors Field,1.163,1.21,1.22,MacKenzie Gore,L,COL,Kyle Freeland,L
COL,Home,6/17/2022,N,COL44729,Coors Field,1.163,1.21,1.22,Kyle Freeland,L,SDP,MacKenzie Gore,L
LAD,Home,6/17/2022,N,LAD44729,Dodger Stadium,1.081,1.2,1.05,Clayton Kershaw,L,CLE,Zach Plesac,R
CLE,Away,6/17/2022,N,CLE44729,Dodger Stadium,1.081,1.2,1.05,Zach Plesac,R,LAD,Clayton Kershaw,L
STL,Away,6/17/2022,N,STL44729,Fenway Park,0.816,0.98,0.84,Adam Wainwright,R,BOS,Michael Wacha,R
BOS,Home,6/17/2022,N,BOS44729,Fenway Park,0.816,0.98,0.84,Michael Wacha,R,STL,Adam Wainwright,R
MIL,Away,6/17/2022,N,MIL44729,Great American BP,1.01,1.3,1.36,Eric Lauer,L,CIN,Hunter Greene,R
CIN,Home,6/17/2022,N,CIN44729,Great American BP,1.01,1.3,1.36,Hunter Greene,R,MIL,Eric Lauer,L
HOU,Home,6/17/2022,N,HOU44729,Minute Maid Park,0.993,1.12,1.07,Framber Valdez,L,CHW,Lucas Giolito,R
CHW,Away,6/17/2022,N,CHW44729,Minute Maid Park,0.993,1.12,1.07,Lucas Giolito,R,HOU,Framber Valdez,L
WSN,Home,6/17/2022,N,WSN44729,Nationals Park,0.926,1.09,1.14,Joan Adon,R,PHI,Ranger Suarez,L
PHI,Away,6/17/2022,N,PHI44729,Nationals Park,0.926,1.09,1.14,Ranger Suarez,L,WSN,Joan Adon,R
OAK,Home,6/17/2022,N,OAK44729,Oakland Coliseum,1.027,0.82,0.73,Frankie Montas,R,KCR,Daniel Lynch,L
KCR,Away,6/17/2022,N,KCR44729,Oakland Coliseum,1.027,0.82,0.73,Daniel Lynch,L,OAK,Frankie Montas,R
BAL,Home,6/17/2022,N,BAL44729,Oriole Park,0.854,1.2,1.11,Dean Kremer,R,TBR,Shane Baz,R
TBR,Away,6/17/2022,N,TBR44729,Oriole Park,0.854,1.2,1.11,Shane Baz,R,BAL,Dean Kremer,R
SFG,Away,6/17/2022,N,SFG44729,PNC Park,1.045,0.8,0.93,Carlos Rodon,L,PIT,Zach Thompson,R
PIT,Home,6/17/2022,N,PIT44729,PNC Park,1.045,0.8,0.93,Zach Thompson,R,SFG,Carlos Rodon,L
TOR,Home,6/17/2022,N,TOR44729,Rogers Centre,0.989,1.1,1.15,Ross Stripling,R,NYY,Jordan Montgomery,L
NYY,Away,6/17/2022,N,NYY44729,Rogers Centre,0.989,1.1,1.15,Jordan Montgomery,L,TOR,Ross Stripling,R
LAA,Away,6/17/2022,N,LAA44729,T-Mobile Park,1,1.04,0.89,Michael Lorenzen,R,SEA,Robbie Ray,L
SEA,Home,6/17/2022,N,SEA44729,T-Mobile Park,1,1.04,0.89,Robbie Ray,L,LAA,Michael Lorenzen,R
ATL,Away,6/17/2022,D,ATL44729,Wrigley Field,0.973,0.98,0.83,Charlie Morton,R,CHC,Keegan Thompson,R
CHC,Home,6/17/2022,D,CHC44729,Wrigley Field,0.973,0.98,0.83,Keegan Thompson,R,ATL,Charlie Morton,R
ARI,Home,6/18/2022,N,ARI44730,Chase Field,0.983,0.87,0.97,Luke Weaver,R,MIN,Dylan Bundy,R
MIN,Away,6/18/2022,N,MIN44730,Chase Field,0.983,0.87,0.97,Dylan Bundy,R,ARI,Luke Weaver,R
MIA,Away,6/18/2022,D,MIA44730,Citi Field,1.113,1.07,0.98,Braxton Garrett,L,NYM,Taijuan Walker,R
NYM,Home,6/18/2022,D,NYM44730,Citi Field,1.113,1.07,0.98,Taijuan Walker,R,MIA,Braxton Garrett,L
TEX,Away,6/18/2022,D,TEX44730,Comerica Park,0.97,0.96,0.88,Taylor Hearn,L,DET,Rony Garcia,R
DET,Home,6/18/2022,D,DET44730,Comerica Park,0.97,0.96,0.88,Rony Garcia,R,TEX,Taylor Hearn,L
SDP,Away,6/18/2022,N,SDP44730,Coors Field,1.06,1.21,1.22,Nick Martinez,R,COL,German Marquez,R
COL,Home,6/18/2022,N,COL44730,Coors Field,1.06,1.21,1.22,German Marquez,R,SDP,Nick Martinez,R
LAD,Home,6/18/2022,D,LAD44730,Dodger Stadium,0.951,1.2,1.05,Julio Urias,L,CLE,Cal Quantrill,R
CLE,Away,6/18/2022,D,CLE44730,Dodger Stadium,0.951,1.2,1.05,Cal Quantrill,R,LAD,Julio Urias,L
STL,Away,6/18/2022,N,STL44730,Fenway Park,0.816,0.98,0.84,Dakota Hudson,R,BOS,Kutter Crawford,R
BOS,Home,6/18/2022,N,BOS44730,Fenway Park,0.816,0.98,0.84,Kutter Crawford,R,STL,Dakota Hudson,R
MIL,Away,6/18/2022,D,MIL44730,Great American BP,1.025,1.3,1.36,Jason Alexander,R,CIN,Graham Ashcraft,R
CIN,Home,6/18/2022,D,CIN44730,Great American BP,1.025,1.3,1.36,Graham Ashcraft,R,MIL,Jason Alexander,R
HOU,Home,6/18/2022,D,HOU44730,Minute Maid Park,0.993,1.12,1.07,Justin Verlander,R,CHW,Johnny Cueto,R
CHW,Away,6/18/2022,D,CHW44730,Minute Maid Park,0.993,1.12,1.07,Johnny Cueto,R,HOU,Justin Verlander,R
WSN,Home,6/18/2022,D,WSN44730,Nationals Park,0.96,1.09,1.14,Josiah Gray,R,PHI,Aaron Nola,R
PHI,Away,6/18/2022,D,PHI44730,Nationals Park,0.96,1.09,1.14,Aaron Nola,R,WSN,Josiah Gray,R
OAK,Home,6/18/2022,D,OAK44730,Oakland Coliseum,1.027,0.82,0.73,Cole Irvin,L,KCR,Brad Keller,R
KCR,Away,6/18/2022,D,KCR44730,Oakland Coliseum,1.027,0.82,0.73,Brad Keller,R,OAK,Cole Irvin,L
BAL,Home,6/18/2022,D,BAL44730,Oriole Park,0.854,1.2,1.11,Kyle Bradish,R,TBR,Jeffrey Springs,L
TBR,Away,6/18/2022,D,TBR44730,Oriole Park,0.854,1.2,1.11,Jeffrey Springs,L,BAL,Kyle Bradish,R
SFG,Away,6/18/2022,D,SFG44730,PNC Park,0.841,0.8,0.93,Alex Wood,L,PIT,Jose Quintana,L
PIT,Home,6/18/2022,D,PIT44730,PNC Park,0.841,0.8,0.93,Jose Quintana,L,SFG,Alex Wood,L
TOR,Home,6/18/2022,D,TOR44730,Rogers Centre,0.989,1.1,1.15,Alek Manoah,R,NYY,Jameson Taillon,R
NYY,Away,6/18/2022,D,NYY44730,Rogers Centre,0.989,1.1,1.15,Jameson Taillon,R,TOR,Alek Manoah,R
LAA,Away,6/18/2022,D,LAA44730,T-Mobile Park,1,1.04,0.89,Patrick Sandoval,L,SEA,Chris Flexen,R
SEA,Home,6/18/2022,D,SEA44730,T-Mobile Park,1,1.04,0.89,Chris Flexen,R,LAA,Patrick Sandoval,L
ATL,Away,6/18/2022,D,ATL44730,Wrigley Field,0.62,0.98,0.83,Kyle Wright,R,CHC,Justin Steele,L
CHC,Home,6/18/2022,D,CHC44730,Wrigley Field,0.62,0.98,0.83,Justin Steele,L,ATL,Kyle Wright,R
ARI,Home,6/19/2022,D,ARI44731,Chase Field,0.983,0.87,0.97,Merrill Kelly,R,MIN,Chris Archer,R
MIN,Away,6/19/2022,D,MIN44731,Chase Field,0.983,0.87,0.97,Chris Archer,R,ARI,Merrill Kelly,R
MIA,Away,6/19/2022,D,MIA44731,Citi Field,1.113,1.07,0.98,Sandy Alcantara,R,NYM,Chris Bassitt,R
NYM,Home,6/19/2022,D,NYM44731,Citi Field,1.113,1.07,0.98,Chris Bassitt,R,MIA,Sandy Alcantara,R
TEX,Away,6/19/2022,D,TEX44731,Comerica Park,1.004,0.96,0.88,Dane Dunning,R,DET,Drew Hutchison,R
DET,Home,6/19/2022,D,DET44731,Comerica Park,1.004,0.96,0.88,Drew Hutchison,R,TEX,Dane Dunning,R
SDP,Away,6/19/2022,D,SDP44731,Coors Field,1.06,1.21,1.22,Blake Snell,L,COL,Antonio Senzatela,R
COL,Home,6/19/2022,D,COL44731,Coors Field,1.06,1.21,1.22,Antonio Senzatela,R,SDP,Blake Snell,L
LAD,Home,6/19/2022,D,LAD44731,Dodger Stadium,0.951,1.2,1.05,Andrew Heaney,L,CLE,Shane Bieber,R
CLE,Away,6/19/2022,D,CLE44731,Dodger Stadium,0.951,1.2,1.05,Shane Bieber,R,LAD,Andrew Heaney,L
STL,Away,6/19/2022,N,STL44731,Fenway Park,1.028,0.98,0.84,Neil Pallante,R,BOS,Nick Pivetta,R
BOS,Home,6/19/2022,N,BOS44731,Fenway Park,1.028,0.98,0.84,Nick Pivetta,R,STL,Neil Pallante,R
MIL,Away,6/19/2022,D,MIL44731,Great American BP,1.001,1.3,1.36,Adrian Houser,R,CIN,Mike Minor,L
CIN,Home,6/19/2022,D,CIN44731,Great American BP,1.001,1.3,1.36,Mike Minor,L,MIL,Adrian Houser,R
HOU,Home,6/19/2022,D,HOU44731,Minute Maid Park,0.993,1.12,1.07,Cristian Javier,R,CHW,Michael Kopech,R
CHW,Away,6/19/2022,D,CHW44731,Minute Maid Park,0.993,1.12,1.07,Michael Kopech,R,HOU,Cristian Javier,R
WSN,Home,6/19/2022,D,WSN44731,Nationals Park,0.926,1.09,1.14,Jackson Tetreault,R,PHI,Zach Eflin,R
PHI,Away,6/19/2022,D,PHI44731,Nationals Park,0.926,1.09,1.14,Zach Eflin,R,WSN,Jackson Tetreault,R
OAK,Home,6/19/2022,D,OAK44731,Oakland Coliseum,1.027,0.82,0.73,Jared Koenig,L,KCR,Brady Singer,R
KCR,Away,6/19/2022,D,KCR44731,Oakland Coliseum,1.027,0.82,0.73,Brady Singer,R,OAK,Jared Koenig,L
BAL,Home,6/19/2022,D,BAL44731,Oriole Park,0.854,1.2,1.11,Austin Voth,R,TBR,Corey Kluber,R
TBR,Away,6/19/2022,D,TBR44731,Oriole Park,0.854,1.2,1.11,Corey Kluber,R,BAL,Austin Voth,R
SFG,Away,6/19/2022,D,SFG44731,PNC Park,0.841,0.8,0.93,Alex Cobb,R,PIT,Mitch Keller,R
PIT,Home,6/19/2022,D,PIT44731,PNC Park,0.841,0.8,0.93,Mitch Keller,R,SFG,Alex Cobb,R
TOR,Home,6/19/2022,D,TOR44731,Rogers Centre,0.989,1.1,1.15,Yusei Kikuchi,L,NYY,Luis Severino,R
NYY,Away,6/19/2022,D,NYY44731,Rogers Centre,0.989,1.1,1.15,Luis Severino,R,TOR,Yusei Kikuchi,L
LAA,Away,6/19/2022,D,LAA44731,T-Mobile Park,1,1.04,0.89,Kenny Rosenberg,L,SEA,Logan Gilbert,R
SEA,Home,6/19/2022,D,SEA44731,T-Mobile Park,1,1.04,0.89,Logan Gilbert,R,LAA,Kenny Rosenberg,L
ATL,Away,6/19/2022,D,ATL44731,Wrigley Field,0.921,0.98,0.83,Ian Anderson,R,CHC,Kyle Hendricks,R
CHC,Home,6/19/2022,D,CHC44731,Wrigley Field,0.921,0.98,0.83,Kyle Hendricks,R,ATL,Ian Anderson,R
MIL,Home,6/20/2022,N,MIL44732,American Family Fld,0.988,1.14,1.08,Corbin Burnes,R,STL,Miles Mikolas,R
STL,Away,6/20/2022,N,STL44732,American Family Fld,0.988,1.14,1.08,Miles Mikolas,R,MIL,Corbin Burnes,R
LAA,Home,6/20/2022,N,LAA44732,Angel Stadium,0.987,1.04,1.29,Noah Syndergaard,R,KCR,Kris Bubic,L
KCR,Away,6/20/2022,N,KCR44732,Angel Stadium,0.987,1.04,1.29,Kris Bubic,L,LAA,Noah Syndergaard,R
MIA,Away,6/20/2022,D,MIA44732,Citi Field,1,1.07,0.98,Trevor Rogers,L,NYM,David Peterson,L
NYM,Home,6/20/2022,D,NYM44732,Citi Field,1,1.07,0.98,David Peterson,L,MIA,Trevor Rogers,L
BOS,Home,6/20/2022,N,BOS44732,Fenway Park,0.895,0.98,0.84,Josh Winckowski,R,DET,Alex Faedo,R
DET,Away,6/20/2022,N,DET44732,Fenway Park,0.895,0.98,0.84,Alex Faedo,R,BOS,Josh Winckowski,R
TOR,Away,6/20/2022,N,TOR44732,Guaranteed Rate Fld,1.096,1.12,1.15,Jose Berrios,R,CHW,Lance Lynn,R
CHW,Home,6/20/2022,N,CHW44732,Guaranteed Rate Fld,1.096,1.12,1.15,Lance Lynn,R,TOR,Jose Berrios,R
ARI,Away,6/20/2022,N,ARI44732,Petco Park,1.035,0.98,0.92,Zach Davies,R,SDP,Yu Darvish,R
SDP,Home,6/20/2022,N,SDP44732,Petco Park,1.035,0.98,0.92,Yu Darvish,R,ARI,Zach Davies,R
CHC,Away,6/20/2022,N,CHC44732,PNC Park,0.89,0.8,0.93,Caleb Kilian,R,PIT,JT Brubaker,R
PIT,Home,6/20/2022,N,PIT44732,PNC Park,0.89,0.8,0.93,JT Brubaker,R,CHC,Caleb Kilian,R
TBR,Home,6/20/2022,N,TBR44732,Tropicana Field,0.995,0.91,0.96,Shane McClanahan,L,NYY,Gerrit Cole,R
NYY,Away,6/20/2022,N,NYY44732,Tropicana Field,0.995,0.91,0.96,Gerrit Cole,R,TBR,Shane McClanahan,L
ATL,Home,6/20/2022,N,ATL44732,Truist Park,1.064,0.94,0.92,Max Fried,L,SFG,Logan Webb,R
SFG,Away,6/20/2022,N,SFG44732,Truist Park,1.064,0.94,0.92,Logan Webb,R,ATL,Max Fried,L
MIL,Home,6/21/2022,N,MIL44733,American Family Fld,0.988,1.14,1.08,Chi Chi Gonzalez,R,STL,Jack Flaherty,R
STL,Away,6/21/2022,N,STL44733,American Family Fld,0.988,1.14,1.08,Jack Flaherty,R,MIL,Chi Chi Gonzalez,R
LAA,Home,6/21/2022,N,LAA44733,Angel Stadium,0.987,1.04,1.29,Reid Detmers,L,KCR,Jon Heasley,R
KCR,Away,6/21/2022,N,KCR44733,Angel Stadium,0.987,1.04,1.29,Jon Heasley,R,LAA,Reid Detmers,L
BOS,Home,6/21/2022,N,BOS44733,Fenway Park,0.895,0.98,0.84,Rich Hill,L,DET,Beau Brieske,R
DET,Away,6/21/2022,N,DET44733,Fenway Park,0.895,0.98,0.84,Beau Brieske,R,BOS,Rich Hill,L
PHI,Away,6/21/2022,N,PHI44733,Globe Life Field,0.981,0.96,0.95,Kyle Gibson,R,TEX,Martin Perez,L
TEX,Home,6/21/2022,N,TEX44733,Globe Life Field,0.981,0.96,0.95,Martin Perez,L,PHI,Kyle Gibson,R
LAD,Away,6/21/2022,N,LAD44733,Great American BP,1.046,1.3,1.36,Tony Gonsolin,R,CIN,Tyler Mahle,R
CIN,Home,6/21/2022,N,CIN44733,Great American BP,1.046,1.3,1.36,Tyler Mahle,R,LAD,Tony Gonsolin,R
TOR,Away,6/21/2022,N,TOR44733,Guaranteed Rate Fld,1.096,1.12,1.15,Kevin Gausman,R,CHW,Dylan Cease,R
CHW,Home,6/21/2022,N,CHW44733,Guaranteed Rate Fld,1.096,1.12,1.15,Dylan Cease,R,TOR,Kevin Gausman,R
MIA,Home,6/21/2022,N,MIA44733,LoanDepot Park,1.011,0.72,0.77,Daniel Castano,L,COL,Ryan Feltner,R
COL,Away,6/21/2022,N,COL44733,LoanDepot Park,1.011,0.72,0.77,Ryan Feltner,R,MIA,Daniel Castano,L
HOU,Home,6/21/2022,N,HOU44733,Minute Maid Park,0.993,1.12,1.07,Jose Urquidy,R,NYM,Trevor Williams,R
NYM,Away,6/21/2022,N,NYM44733,Minute Maid Park,0.993,1.12,1.07,Trevor Williams,R,HOU,Jose Urquidy,R
OAK,Home,6/21/2022,N,OAK44733,Oakland Coliseum,1.124,0.82,0.73,James Kaprielian,R,SEA,Marco Gonzales,L
SEA,Away,6/21/2022,N,SEA44733,Oakland Coliseum,1.124,0.82,0.73,Marco Gonzales,L,OAK,James Kaprielian,R
WSN,Away,6/21/2022,N,WSN44733,Oriole Park,1.123,1.2,1.11,Erick Fedde,R,BAL,Jordan Lyles,R
BAL,Home,6/21/2022,N,BAL44733,Oriole Park,1.123,1.2,1.11,Jordan Lyles,R,WSN,Erick Fedde,R
ARI,Away,6/21/2022,N,ARI44733,Petco Park,1.01,0.98,0.92,Zac Gallen,R,SDP,Sean Manaea,L
SDP,Home,6/21/2022,N,SDP44733,Petco Park,1.01,0.98,0.92,Sean Manaea,L,ARI,Zac Gallen,R
CHC,Away,6/21/2022,N,CHC44733,PNC Park,0.841,0.8,0.93,Matt Swarmer,R,PIT,Roansy Contreras,R
PIT,Home,6/21/2022,N,PIT44733,PNC Park,0.841,0.8,0.93,Roansy Contreras,R,CHC,Matt Swarmer,R
CLE,Away,6/21/2022,N,CLE44733,Target Field,0.955,0.86,0.89,Aaron Civale,R,MIN,Joe Ryan,R
MIN,Home,6/21/2022,N,MIN44733,Target Field,0.955,0.86,0.89,Joe Ryan,R,CLE,Aaron Civale,R
TBR,Home,6/21/2022,N,TBR44733,Tropicana Field,0.995,0.91,0.96,Jalen Beeks,L,NYY,Nestor Cortes,L
NYY,Away,6/21/2022,N,NYY44733,Tropicana Field,0.995,0.91,0.96,Nestor Cortes,L,TBR,Jalen Beeks,L
ATL,Home,6/21/2022,N,ATL44733,Truist Park,1.064,0.94,0.92,Spencer Strider,R,SFG,Anthony DeSclafani,R
SFG,Away,6/21/2022,N,SFG44733,Truist Park,1.064,0.94,0.92,Anthony DeSclafani,R,ATL,Spencer Strider,R
MIL,Home,6/22/2022,N,MIL44734,American Family Fld,0.988,1.14,1.08,Eric Lauer,L,STL,Adam Wainwright,R
STL,Away,6/22/2022,N,STL44734,American Family Fld,0.988,1.14,1.08,Adam Wainwright,R,MIL,Eric Lauer,L
LAA,Home,6/22/2022,N,LAA44734,Angel Stadium,0.987,1.04,1.29,Shohei Othani,R,KCR,Daniel Lynch,L
KCR,Away,6/22/2022,N,KCR44734,Angel Stadium,0.987,1.04,1.29,Daniel Lynch,L,LAA,Shohei Othani,R
BOS,Home,6/22/2022,N,BOS44734,Fenway Park,1.272,0.98,0.84,Michael Wacha,R,DET,Tarik Skubal,L
DET,Away,6/22/2022,N,DET44734,Fenway Park,1.272,0.98,0.84,Tarik Skubal,L,BOS,Michael Wacha,R
PHI,Away,6/22/2022,D,PHI44734,Globe Life Field,0.981,0.96,0.95,Zack Wheeler,R,TEX,Jon Gray,R
TEX,Home,6/22/2022,D,TEX44734,Globe Life Field,0.981,0.96,0.95,Jon Gray,R,PHI,Zack Wheeler,R
LAD,Away,6/22/2022,N,LAD44734,Great American BP,1.01,1.3,1.36,Tyler Anderson,L,CIN,Luis Castillo,R
CIN,Home,6/22/2022,N,CIN44734,Great American BP,1.01,1.3,1.36,Luis Castillo,R,LAD,Tyler Anderson,L
TOR,Away,6/22/2022,D,TOR44734,Guaranteed Rate Fld,1.048,1.12,1.15,Ross Stripling,R,CHW,Lucas Giolito,R
CHW,Home,6/22/2022,D,CHW44734,Guaranteed Rate Fld,1.048,1.12,1.15,Lucas Giolito,R,TOR,Ross Stripling,R
MIA,Home,6/22/2022,N,MIA44734,LoanDepot Park,1.011,0.72,0.77,Pablo Lopez,R,COL,Chad Kuhl,R
COL,Away,6/22/2022,N,COL44734,LoanDepot Park,1.011,0.72,0.77,Chad Kuhl,R,MIA,Pablo Lopez,R
HOU,Home,6/22/2022,D,HOU44734,Minute Maid Park,0.993,1.12,1.07,Luis Garcia,R,NYM,Carlos Carrasco,R
NYM,Away,6/22/2022,D,NYM44734,Minute Maid Park,0.993,1.12,1.07,Carlos Carrasco,R,HOU,Luis Garcia,R
OAK,Home,6/22/2022,N,OAK44734,Oakland Coliseum,1.124,0.82,0.73,Paul Blackburn,R,SEA,George Kirby,R
SEA,Away,6/22/2022,N,SEA44734,Oakland Coliseum,1.124,0.82,0.73,George Kirby,R,OAK,Paul Blackburn,R
WSN,Away,6/22/2022,N,WSN44734,Oriole Park,1.043,1.2,1.11,Patrick Corbin,L,BAL,Tyler Wells,R
BAL,Home,6/22/2022,N,BAL44734,Oriole Park,1.043,1.2,1.11,Tyler Wells,R,WSN,Patrick Corbin,L
ARI,Away,6/22/2022,D,ARI44734,Petco Park,0.93,0.98,0.92,Madison Bumgarner,L,SDP,Mike Clevinger,R
SDP,Home,6/22/2022,D,SDP44734,Petco Park,0.93,0.98,0.92,Mike Clevinger,R,ARI,Madison Bumgarner,L
CHC,Away,6/22/2022,N,CHC44734,PNC Park,1.045,0.8,0.93,Jerad Eickhoff,R,PIT,Jerad Eickhoff,R
