Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
LAA,Angel Stadium,5/9/2022,4,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
WSH,Truist Park,4/12/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CLE,Guaranteed Rate Field,5/9/2022,3,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
CWS,Guaranteed Rate Field,5/9/2022,2,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
PIT,PNC Park,5/9/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
PHI,T-Mobile Park,5/9/2022,2,,, $(60.00), $(90.00),50,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/10/2022,4,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
BAL,Busch Stadium,5/10/2022,2,,, $(60.00), $(90.00),90,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/10/2022,2,,, $(60.00), $(90.00),90,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/10/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
PHI,T-Mobile Park,5/10/2022,3,,, $(60.00), $(90.00),58,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,5/10/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
ARI,Chase Field,5/11/2022,2,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
MIA,Chase Field,5/11/2022,3,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/11/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
MIL,Great American Ball Park,5/11/2022,5,,, $(60.00), $(90.00),83,,,,,,,,,,,,,,,,,,,,,,,
WSH,Coors Field,5/3/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,5/11/2022,3,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
PIT,PNC Park,5/11/2022,3,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/11/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
BAL,Busch Stadium,5/12/2022,2,,, $(60.00), $(90.00),90,,,,,,,,,,,,,,,,,,,,,,,
PHI,Dodger Stadium,5/12/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
NYY,Guaranteed Rate Field,5/12/2022,4,,, $(60.00), $(90.00),88,,,,,,,,,,,,,,,,,,,,,,,
HOU,Target Field,5/12/2022,3,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
BAL,Comerica Park,5/13/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/13/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
KC,Coors Field,5/13/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,5/13/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
PHI,Dodger Stadium,5/13/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
NYY,Guaranteed Rate Field,5/13/2022,4,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
HOU,Nationals Park,5/13/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
WSH,Coors Field,5/5/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CLE,Target Field,5/13/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,5/13/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/13/2022,2,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
SD,Truist Park,5/13/2022,2,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
DET,Comerica Park,5/14/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/14/2022,3,,, $(60.00), $(90.00),81,,,,,,,,,,,,,,,,,,,,,,,
KC,Coors Field,5/14/2022,2,,, $(60.00), $(90.00),81,,,,,,,,,,,,,,,,,,,,,,,
PHI,Dodger Stadium,5/14/2022,4,,, $(60.00), $(90.00),81,,,,,,,,,,,,,,,,,,,,,,,
BOS,Globe Life Field,5/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,5/14/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
MIL,Marlins Park,5/14/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
WSH,Angel Stadium,5/7/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAA,Oakland Coliseum,5/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Tropicana Field,5/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/14/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
SF,Busch Stadium,5/15/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/15/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Chase Field,5/15/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
SEA,Citi Field,5/15/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
KC,Coors Field,5/15/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/15/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,Marlins Park,5/15/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
HOU,Nationals Park,5/15/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,5/15/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Coors Field,5/16/2022,3,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
ARI,Dodger Stadium,5/16/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/16/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
CWS,Kauffman Stadium,5/16/2022,2,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
BAL,Oriole Park at Camden Yards,5/16/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
NYY,Oriole Park at Camden Yards,5/16/2022,3,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,5/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
DET,Tropicana Field,5/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citi Field,5/17/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ARI,Dodger Stadium,5/17/2022,4,,, $(60.00), $(90.00),133,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,5/17/2022,5,,, $(60.00), $(90.00),133,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/17/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
HOU,Fenway Park,5/17/2022,6,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
LAA,Globe Life Field,5/17/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/17/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,5/17/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
MIN,Oakland Coliseum,5/17/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Oriole Park at Camden Yards,5/17/2022,2,,, $(60.00), $(90.00),81,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,5/17/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/17/2022,2,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
ATL,American Family Field,5/18/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/18/2022,2,,, $(60.00), $(90.00),79,,,,,,,,,,,,,,,,,,,,,,,
LAA,Globe Life Field,5/18/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/18/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
KC,Kauffman Stadium,5/18/2022,2,,, $(60.00), $(90.00),82,,,,,,,,,,,,,,,,,,,,,,,
SEA,Rogers Centre,5/18/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,5/18/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Citi Field,5/19/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/19/2022,3,,, $(60.00), $(90.00),53,,,,,,,,,,,,,,,,,,,,,,,
SEA,Fenway Park,5/19/2022,2,,, $(60.00), $(90.00),53,,,,,,,,,,,,,,,,,,,,,,,
BAL,Oriole Park at Camden Yards,5/19/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,5/20/2022,2,,, $(60.00), $(90.00),71,,,,,,,,,,,,,,,,,,,,,,,
OAK,Angel Stadium,5/20/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/20/2022,2,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
KC,Kauffman Stadium,5/20/2022,2,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
ATL,Marlins Park,5/20/2022,3,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,5/20/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
ARI,Wrigley Field,5/20/2022,7,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/20/2022,4,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,5/21/2022,2,,, $(60.00), $(90.00),71,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/21/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
LAD,Citizens Bank Park,5/21/2022,3,,, $(60.00), $(90.00),93,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citizens Bank Park,5/21/2022,2,,, $(60.00), $(90.00),93,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,5/21/2022,3,,, $(60.00), $(90.00),93,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/21/2022,2,,, $(60.00), $(90.00),85,,,,,,,,,,,,,,,,,,,,,,,
ATL,Marlins Park,5/21/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
TB,Oriole Park at Camden Yards,5/21/2022,3,,, $(60.00), $(90.00),87,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,5/21/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/21/2022,2,,, $(60.00), $(90.00),60,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/22/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
LAD,Citizens Bank Park,5/22/2022,2,,, $(60.00), $(90.00),88,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/22/2022,3,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
SEA,Fenway Park,5/22/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
PIT,PNC Park,5/22/2022,3,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
STL,PNC Park,5/22/2022,3,,, $(60.00), $(90.00),78,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/22/2022,2,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
CWS,Yankee Stadium,5/22/2022,2,,, $(60.00), $(90.00),86,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/23/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
ARI,Chase Field,5/23/2022,2,,, $(60.00), $(90.00),94,,,,,,,,,,,,,,,,,,,,,,,
KC,Chase Field,5/23/2022,3,,, $(60.00), $(90.00),94,,,,,,,,,,,,,,,,,,,,,,,
CHC,Great American Ball Park,5/23/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
WSH,Nationals Park,5/11/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Oracle Park,5/23/2022,3,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,5/23/2022,3,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,5/23/2022,2,,, $(60.00), $(90.00),71,,,,,,,,,,,,,,,,,,,,,,,
TEX,Angel Stadium,5/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Busch Stadium,5/24/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ARI,Chase Field,5/24/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Great American Ball Park,5/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BOS,Guaranteed Rate Field,5/24/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Nationals Park,5/24/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,5/24/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,Petco Park,5/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
OAK,T-Mobile Park,5/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,5/24/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BAL,Yankee Stadium,5/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,5/24/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Angel Stadium,5/25/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,5/25/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,PNC Park,5/25/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
DET,Target Field,5/25/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
OAK,T-Mobile Park,5/25/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/25/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Angel Stadium,5/26/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Chase Field,5/26/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Great American Ball Park,5/26/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
WSH,Nationals Park,5/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BOS,Guaranteed Rate Field,5/26/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Chase Field,5/27/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BAL,Fenway Park,5/27/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
OAK,Oakland Coliseum,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
KC,Target Field,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,5/27/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Tropicana Field,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIA,Truist Park,5/27/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,Busch Stadium,5/28/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/28/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BAL,Fenway Park,5/28/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
WSH,Nationals Park,5/28/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Oakland Coliseum,5/28/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/29/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,Busch Stadium,5/29/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
DET,Comerica Park,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,5/29/2022,5,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
WSH,Nationals Park,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Oakland Coliseum,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,5/29/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Tropicana Field,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/29/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIA,Truist Park,5/29/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,Busch Stadium,5/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citi Field,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citizens Bank Park,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Citizens Bank Park,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Comerica Park,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,Dodger Stadium,5/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
BAL,Fenway Park,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
HOU,Oakland Coliseum,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CLE,Progressive Field,5/30/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/30/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,Wrigley Field,5/30/2022,5,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citi Field,5/31/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,Dodger Stadium,5/31/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,5/31/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,5/31/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,5/31/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,5/31/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
