Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
DET,Comerica Park,4/13/2022,3,,, $(60.00), $(90.00),69,,,,,,,,,,,,,,,,,,,,,,,
CIN,Dodger Stadium,4/14/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
CLE,Great American Ball Park,4/13/2022,4,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
CWS,Guaranteed Rate Field,4/13/2022,3,,, $(60.00), $(90.00),62,,,,,,,,,,,,,,,,,,,,,,,
LAD,Target Field,4/13/2022,4,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/13/2022,3,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
TOR,Yankee Stadium,4/13/2022,3,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,4/27/2022,2,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
LAA,Globe Life Field,4/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TEX,Globe Life Field,4/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SEA,Guaranteed Rate Field,4/14/2022,3,,, $(60.00), $(90.00),48,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,4/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,PNC Park,4/14/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
STL,American Family Field,4/15/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citi Field,4/15/2022,4,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,4/15/2022,2,,, $(60.00), $(90.00),60,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,4/15/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
LAA,Globe Life Field,4/15/2022,5,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SF,Progressive Field,4/15/2022,3,,, $(60.00), $(90.00),54,,,,,,,,,,,,,,,,,,,,,,,
COL,Coors Field,4/16/2022,2,,, $(60.00), $(90.00),55,,,,,,,,,,,,,,,,,,,,,,,
BOS,Fenway Park,4/16/2022,2,,, $(60.00), $(90.00),71,,,,,,,,,,,,,,,,,,,,,,,
LAA,Globe Life Field,4/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIA,Marlins Park,4/16/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
ATL,Petco Park,4/16/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,4/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
OAK,Rogers Centre,4/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TOR,Rogers Centre,4/16/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CHC,Coors Field,4/17/2022,2,,, $(60.00), $(90.00),64,,,,,,,,,,,,,,,,,,,,,,,
PHI,Marlins Park,4/17/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
SF,Progressive Field,4/17/2022,2,,, $(60.00), $(90.00),35,,,,,,,,,,,,,,,,,,,,,,,
ATL,Dodger Stadium,4/18/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,4/18/2022,2,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
MIN,Fenway Park,4/18/2022,2,,, $(60.00), $(90.00),48,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,4/18/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
CHC,Wrigley Field,4/18/2022,2,,, $(60.00), $(90.00),40,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,4/19/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,American Family Field,4/19/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
KC,Kauffman Stadium,4/19/2022,3,,, $(60.00), $(90.00),55,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,4/19/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIL,American Family Field,4/20/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PHI,Coors Field,4/20/2022,4,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
LAD,Dodger Stadium,4/20/2022,2,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,4/20/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citi Field,4/21/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
