player_id,player_name,PA,BIP,EV-Ovr,LA-OVR,FB,HR,HR/BIP,HH FB,HH HR,PA/HR,FB%,HHFB%,80thPctEV-OVR,PA-vLHP,BIP-vLHP,EV-vLHP,LA-vLHP,FB-vLHP,HR-vLHP,HH FB-vLHP,HH HR-vLHP,PA/HR-vLHP,FB%-vLHP,HHFB%-vLHP,80thPctEV-vLHP,PA-vRHP,BIP-vRHP,EV-vRHP,LA-vRHP,FB-vRHP,HR-vRHP,HH FB-vRHP,HH HR-vRHP,PA/HR-vRHP,FB%-vRHP,HHFB%-vRHP,80thPctEV-vRHP,EV-80thPct,HHFB-Pct,EV-80thPct-vLHP,HHFB-Pct-vLHP,EV-80thPct-vRHP,HHFB-Pct-vRHP
666182,"Bichette, Bo",411.0,286.0,91.3419014084507,8.44718309859155,62.0,14.0,0.04895104895104895,32.0,14.0,29.357142857142858,0.21678321678321677,0.11188811188811189,103.44,72.0,47.0,88.77234042553192,10.957446808510639,14.0,2.0,6.0,2.0,36.0,0.2978723404255319,0.1276595744680851,99.1,339.0,239.0,91.85147679324895,7.949367088607595,48.0,12.0,26.0,12.0,28.25,0.200836820083682,0.1087866108786611,104.03999999999999,0.8383838383838383,0.4511784511784512,0.3400673400673401,0.6179577464788732,0.8787878787878788,0.42424242424242425
621566,"Olson, Matt",411.0,267.0,92.17310606060606,14.950757575757576,70.0,17.0,0.06367041198501873,42.0,14.0,24.176470588235293,0.26217228464419473,0.15730337078651685,105.34,131.0,84.0,89.91785714285714,13.30952380952381,24.0,3.0,12.0,3.0,43.666666666666664,0.2857142857142857,0.14285714285714285,102.52000000000001,280.0,183.0,93.22555555555554,15.716666666666667,46.0,14.0,30.0,11.0,20.0,0.25136612021857924,0.16393442622950818,106.0,0.9511784511784511,0.7946127946127947,0.6801346801346801,0.704225352112676,0.9730639730639731,0.8148148148148148
607208,"Turner, Trea",397.0,290.0,90.05902777777777,8.875,78.0,14.0,0.04827586206896552,39.0,14.0,28.357142857142858,0.2689655172413793,0.13448275862068965,102.46000000000001,108.0,79.0,90.07848101265823,8.645569620253164,24.0,6.0,10.0,6.0,18.0,0.3037974683544304,0.12658227848101267,103.12,289.0,211.0,90.05167464114832,8.961722488038278,54.0,8.0,29.0,8.0,36.125,0.2559241706161137,0.13744075829383887,102.34,0.7272727272727273,0.6599326599326599,0.7878787878787878,0.6056338028169014,0.7306397306397306,0.6464646464646465
592885,"Yelich, Christian",376.0,238.0,90.68487394957984,4.390756302521009,47.0,8.0,0.03361344537815126,28.0,8.0,47.0,0.19747899159663865,0.11764705882352941,104.60000000000001,108.0,76.0,87.24605263157895,-2.0526315789473686,9.0,2.0,5.0,2.0,54.0,0.11842105263157894,0.06578947368421052,100.7,268.0,162.0,92.29814814814814,7.41358024691358,38.0,6.0,23.0,6.0,44.666666666666664,0.2345679012345679,0.1419753086419753,105.24,0.9259259259259259,0.49158249158249157,0.5202020202020202,0.1637323943661972,0.9528619528619529,0.6767676767676768
663586,"Riley, Austin",398.0,261.0,93.44844961240311,14.347490347490348,84.0,27.0,0.10344827586206896,55.0,26.0,14.74074074074074,0.3218390804597701,0.210727969348659,106.32000000000001,105.0,60.0,97.3406779661017,17.066666666666666,17.0,8.0,12.0,8.0,13.125,0.2833333333333333,0.2,107.72,293.0,201.0,92.29447236180904,13.527638190954773,67.0,19.0,43.0,18.0,15.421052631578947,0.3333333333333333,0.21393034825870647,105.60000000000001,0.9865319865319865,0.9595959595959596,0.9865319865319865,0.9066901408450704,0.9629629629629629,0.9326599326599326
502671,"Goldschmidt, Paul",389.0,257.0,90.33774319066147,16.019455252918288,80.0,20.0,0.07782101167315175,47.0,19.0,19.45,0.311284046692607,0.1828793774319066,103.58,77.0,50.0,90.72399999999999,16.08,18.0,5.0,9.0,5.0,15.4,0.36,0.18,102.84,312.0,207.0,90.24444444444444,16.004830917874397,62.0,15.0,38.0,14.0,20.8,0.2995169082125604,0.18357487922705315,103.9,0.8569023569023569,0.8888888888888888,0.7542087542087542,0.8538732394366197,0.867003367003367,0.8821548821548821
665489,"Guerrero Jr., Vladimir",390.0,284.0,92.89321428571428,5.181494661921708,48.0,20.0,0.07042253521126761,34.0,12.0,19.5,0.16901408450704225,0.11971830985915492,107.4,69.0,58.0,93.20689655172414,0.46551724137931033,8.0,4.0,7.0,3.0,17.25,0.13793103448275862,0.1206896551724138,107.58,321.0,226.0,92.81126126126125,6.408071748878924,40.0,16.0,27.0,9.0,20.0625,0.17699115044247787,0.11946902654867257,107.36000000000001,0.9932659932659933,0.5235690235690236,0.9831649831649831,0.573943661971831,0.9932659932659933,0.5050505050505051
553993,"Suárez, Eugenio",391.0,216.0,88.46790697674417,18.106976744186046,79.0,16.0,0.07407407407407407,45.0,16.0,24.4375,0.36574074074074076,0.20833333333333334,102.32000000000001,93.0,50.0,90.412,15.98,17.0,2.0,9.0,2.0,46.5,0.34,0.18,101.82000000000001,298.0,166.0,87.87878787878788,18.75151515151515,62.0,14.0,36.0,14.0,21.285714285714285,0.37349397590361444,0.21686746987951808,102.5,0.7053872053872053,0.9494949494949495,0.632996632996633,0.8538732394366197,0.7592592592592593,0.936026936026936
665742,"Soto, Juan",388.0,258.0,90.040625,7.05859375,71.0,20.0,0.07751937984496124,41.0,17.0,19.4,0.2751937984496124,0.15891472868217055,102.7,145.0,96.0,91.28020833333333,11.010416666666666,26.0,6.0,13.0,5.0,24.166666666666668,0.2708333333333333,0.13541666666666666,103.4,243.0,162.0,89.296875,4.6875,45.0,14.0,28.0,12.0,17.357142857142858,0.2777777777777778,0.1728395061728395,102.4,0.7744107744107744,0.8013468013468014,0.8249158249158249,0.6584507042253521,0.7407407407407407,0.8383838383838383
656941,"Schwarber, Kyle",388.0,217.0,92.43271889400923,18.447004608294932,80.0,29.0,0.1336405529953917,62.0,28.0,13.379310344827585,0.3686635944700461,0.2857142857142857,105.34,137.0,72.0,91.63749999999999,21.180555555555557,24.0,7.0,20.0,7.0,19.571428571428573,0.3333333333333333,0.2777777777777778,103.68,251.0,145.0,92.82758620689656,17.089655172413792,56.0,22.0,42.0,21.0,11.409090909090908,0.38620689655172413,0.2896551724137931,105.42,0.9511784511784511,0.9966329966329966,0.8552188552188552,0.9894366197183099,0.9562289562289562,0.9932659932659933
