player_id,player_name,TBF,BIP,EV-OVR,LA-OVR,FB,HR,HH FB,HH HR,TBF/HR,FB%,HHFB%,80thPctEV-OVR,TBF-vLHH,BIP-vLHH,EV-vLHH,LA-vLHH,FB-vLHH,HR-vLHH,K-vLHH,HH FB-vLHH,HH HR-vLHH,TBF/HR-vLHH,FB%-vLHH,HHFB%-vLHH,K%-vsLHH,80thPctEV-vLHH,TBF-vRHH,BIP-vRHH,EV-vRHH,LA-vRHH,FB-vRHH,HR-vRHH,K-vRHH,HH FB-vRHH,HH HR-vRHH,PA/HR-vRHH,FB%-vRHH,HHFB%-vRHH,K%-vsRHH,80thPctEV-vRHH
645261,"Alcantara, Sandy",876,612,87.36019736842105,5.3,122.0,15.0,58.0,14.0,58.4,0.19934640522875818,0.09477124183006536,100.86,475.0,348.0,87.34252873563219,5.416666666666667,80.0,8.0,98.0,38.0,7.0,59.375,0.22988505747126436,0.10919540229885058,0.2063157894736842,100.72,401.0,264.0,87.38384615384615,5.145038167938932,42.0,7.0,109.0,20.0,7.0,57.285714285714285,0.1590909090909091,0.07575757575757576,0.2718204488778055,100.9
669203,"Burnes, Corbin",792,489,86.91129363449693,9.688524590163935,118.0,23.0,44.0,21.0,34.43478260869565,0.24130879345603273,0.08997955010224949,99.9,406.0,251.0,87.51360000000001,4.3585657370517925,45.0,10.0,123.0,14.0,9.0,40.6,0.17928286852589642,0.055776892430278883,0.30295566502463056,100.52,386.0,238.0,86.27594936708861,15.333333333333334,73.0,13.0,117.0,30.0,12.0,29.692307692307693,0.3067226890756303,0.12605042016806722,0.30310880829015546,99.28
543037,"Cole, Gerrit",787,482,89.42126315789473,12.630252100840336,138.0,33.0,67.0,30.0,23.848484848484848,0.2863070539419087,0.13900414937759337,100.74000000000001,353.0,196.0,89.82938144329897,18.55897435897436,69.0,17.0,128.0,38.0,17.0,20.764705882352942,0.3520408163265306,0.19387755102040816,0.3626062322946176,99.9,434.0,286.0,89.13950177935943,8.516014234875446,69.0,16.0,125.0,29.0,13.0,27.125,0.24125874125874125,0.10139860139860139,0.2880184331797235,101.2
425794,"Wainwright, Adam",793,593,87.79206081081081,11.0,150.0,15.0,67.0,13.0,52.86666666666667,0.25295109612141653,0.11298482293423272,100.18,376.0,276.0,86.5072463768116,10.48913043478261,78.0,5.0,60.0,37.0,5.0,75.2,0.2826086956521739,0.13405797101449277,0.1595744680851064,98.0,417.0,317.0,88.91424050632912,11.44620253164557,72.0,10.0,79.0,30.0,8.0,41.7,0.22712933753943218,0.0946372239747634,0.18944844124700239,102.1
656302,"Cease, Dylan",740,438,86.59011494252873,14.837155963302752,133.0,16.0,48.0,14.0,46.25,0.3036529680365297,0.1095890410958904,98.74000000000001,366.0,222.0,87.4606334841629,17.414414414414413,68.0,6.0,97.0,26.0,6.0,61.0,0.3063063063063063,0.11711711711711711,0.2650273224043716,99.1,374.0,216.0,85.69112149532711,12.163551401869158,65.0,10.0,124.0,22.0,8.0,37.4,0.30092592592592593,0.10185185185185185,0.3315508021390374,98.0
571945,"Mikolas, Miles",801,603,87.56183333333333,10.896666666666667,152.0,25.0,72.0,22.0,32.04,0.25207296849087896,0.11940298507462686,99.5,382.0,286.0,86.20915492957747,12.595070422535212,74.0,11.0,75.0,31.0,9.0,34.72727272727273,0.25874125874125875,0.10839160839160839,0.19633507853403143,98.4,419.0,317.0,88.77753164556962,9.370253164556962,78.0,14.0,76.0,41.0,13.0,29.928571428571427,0.24605678233438485,0.12933753943217666,0.18138424821002386,101.3
592662,"Ray, Robbie",774,493,89.54949083503055,14.739307535641547,143.0,32.0,69.0,30.0,24.1875,0.29006085192697767,0.13995943204868155,101.2,146.0,93.0,85.5978494623656,14.290322580645162,23.0,4.0,44.0,11.0,4.0,36.5,0.24731182795698925,0.11827956989247312,0.3013698630136986,98.98,628.0,400.0,90.47286432160803,14.844221105527637,120.0,28.0,168.0,58.0,26.0,22.428571428571427,0.3,0.145,0.267515923566879,101.6
669302,"Gilbert, Logan",754,530,90.0653409090909,13.907196969696969,139.0,18.0,63.0,17.0,41.888888888888886,0.2622641509433962,0.11886792452830189,101.76,344.0,223.0,89.76486486486486,14.35135135135135,61.0,4.0,94.0,23.0,4.0,86.0,0.273542600896861,0.1031390134529148,0.27325581395348836,101.58,410.0,307.0,90.28333333333333,13.584967320261438,78.0,14.0,77.0,40.0,13.0,29.285714285714285,0.254071661237785,0.13029315960912052,0.1878048780487805,101.8
657277,"Webb, Logan",780,564,88.34071428571428,2.5401069518716577,86.0,11.0,38.0,10.0,70.9090909090909,0.1524822695035461,0.0673758865248227,101.2,398.0,288.0,90.64666666666666,0.32517482517482516,41.0,6.0,76.0,24.0,6.0,66.33333333333333,0.1423611111111111,0.08333333333333333,0.19095477386934673,101.52,382.0,276.0,85.9509090909091,4.843636363636364,45.0,5.0,84.0,14.0,4.0,76.4,0.16304347826086957,0.050724637681159424,0.2198952879581152,99.84
543475,"Lyles, Jordan",769,566,88.40424028268552,15.0,159.0,26.0,79.0,24.0,29.576923076923077,0.28091872791519434,0.13957597173144876,101.1,341.0,240.0,88.93833333333333,14.604166666666666,71.0,15.0,67.0,42.0,14.0,22.733333333333334,0.29583333333333334,0.175,0.19648093841642228,101.02,428.0,326.0,88.01104294478527,15.291411042944786,88.0,11.0,76.0,37.0,10.0,38.90909090909091,0.26993865030674846,0.11349693251533742,0.17757009345794392,101.1
