player_id,player_name
542888,"Armstrong, Shawn"
664208,"Maton, Phil"
663455,"Pilkington, Konnor"
622694,"Hernandez, Elieser"
664747,"Díaz, Alexis"
663855,"Hicks, Jordan"
643256,"Cimber, Adam"
493603,"Ottavino, Adam"
554340,"Garcia, Yimi"
663986,"Stephan, Trevor"
608665,"Graveman, Kendall"
661395,"Duran, Jhoan"
656657,"Logue, Zach"
608032,"Estévez, Carlos"
640448,"Finnegan, Kyle"
656638,"Lange, Alex"
622503,"Crismatt, Nabil"
665665,"Sanmartin, Reiver"
593334,"German, Domingo"
662253,"Muñoz, Andrés"
571710,"Givens, Mychal"
593576,"Neris, Héctor"
650556,"Abreu, Bryan"
672578,"Hernández, Carlos"
606424,"García, Jarlín"
656222,"Beeks, Jalen"
678394,"Bello, Brayan"
605218,"Edwards Jr., Carl"
642585,"Bautista, Félix"
445276,"Jansen, Kenley"
682051,"Hill, Garrett"
663436,"Martin, Davis"
641360,"Bickford, Phil"
666159,"Manning, Matt"
670167,"Schreiber, John"
621249,"Underwood Jr., Duane"
625643,"López, Reynaldo"
669212,"Morgan, Eli"
596057,"Norris, Daniel"
573204,"Thielbar, Caleb"
605280,"Holmes, Clay"
623474,"Herget, Jimmy"
600921,"Machado, Andres"
607216,"Krehbiel, Joey"
642758,"Acevedo, Domingo"
682171,"Murfee, Penn"
605447,"Romano, Jordan"
592717,"Sanchez, Aaron"
543766,"Shaw, Bryan"
595345,"Okert, Steven"
642701,"Santana, Dennis"
656412,"Faedo, Alex"
519293,"Smith, Will"
606149,"Gallegos, Giovanny"
542914,"Bass, Anthony"
571479,"Bellatti, Andrew"
623149,"Sewald, Paul"
628452,"Iglesias, Raisel"
664854,"Helsley, Ryan"
571901,"Loup, Aaron"
676714,"Hughes, Brandon"
621363,"Poche, Colin"
606303,"Payamps, Joel"
476595,"Luetge, Lucas"
671345,"Foley, Jason"
453268,"Bard, Daniel"
518489,"Brasier, Ryan"
472610,"García, Luis"
642152,"Trivino, Lou"
592094,"Adam, Jason"
594798,"deGrom, Jacob"
681911,"Vesia, Alex"
641729,"Jiménez, Joe"
661309,"Martínez, Adrián"
623352,"Hader, Josh"
656529,"Hentges, Sam"
521230,"Hendriks, Liam"
670912,"Oviedo, Johan"
656557,"Houck, Tanner"
621242,"Díaz, Edwin"
656353,"Davidson, Tucker"
456713,"Bush, Matt"
669270,"Kuhnel, Joel"
657376,"Schmidt, Clarke"
661403,"Clase, Emmanuel"
623465,"Phillips, Evan"
596112,"Stephenson, Robert"
666374,"Brash, Matt"
621383,"Banks, Tanner"
594577,"Mayers, Mike"
623451,"Stephens, Jackson"
667427,"Jackson, Zach"
453343,"Melancon, Mark"
665621,"García, Rony"
672335,"Pérez, Cionel"
592773,"Stanek, Ryne"
621074,"Rucker, Michael"
605177,"Chafin, Andrew"
572193,"Tepera, Ryan"
621237,"Alvarado, José"
670036,"Festa, Matthew"
453178,"Kennedy, Ian"
621051,"Wilson, Steven"
656546,"Hoffman, Jeff"
664199,"Clarke, Taylor"
455119,"Martin, Chris"
657024,"Swanson, Erik"
573009,"Mantiply, Joe"
617228,"Sawamura, Hirokazu"
598287,"Ramirez, Noé"
660853,"De Los Santos, Enyel"
571927,"Matz, Steven"
571656,"Farmer, Buck"
570257,"Rodríguez, Joely"
